"","ensembl_gene_id","ensembl_transcript_id","external_gene_name","refseq_peptide","refseq_peptide_predicted"
"2393","ENSCING00000013769","ENSCINT00000025385","","",""
"2394","ENSCING00000003043","ENSCINT00000006190","","","XP_002128318"
"2395","ENSCING00000020301","ENSCINT00000031118","","",""
"2396","ENSCING00000016951","ENSCINT00000029273","","",""
"2397","ENSCING00000013763","ENSCINT00000025382","","","XP_002130493"
"2398","ENSCING00000006412","ENSCINT00000013209","","","XP_002130773"
"2399","ENSCING00000014735","ENSCINT00000026752","","",""
"2400","ENSCING00000013762","ENSCINT00000025380","","",""
"2401","ENSCING00000020984","ENSCINT00000032491","","",""
"2402","ENSCING00000019809","ENSCINT00000035918","","",""
"2403","ENSCING00000022145","ENSCINT00000018487","","",""
"2404","ENSCING00000009104","ENSCINT00000025381","","",""
"2405","ENSCING00000009106","ENSCINT00000018490","","",""
"2406","ENSCING00000010135","ENSCINT00000020255","","",""
"2407","ENSCING00000009108","ENSCINT00000018491","","","XP_002130428"
"2408","ENSCING00000003045","ENSCINT00000006194","","","XP_002128513"
"2409","ENSCING00000003712","ENSCINT00000007661","","",""
"2410","ENSCING00000019546","ENSCINT00000035782","","",""
"2411","ENSCING00000019399","ENSCINT00000030806","","",""
"2412","ENSCING00000020500","ENSCINT00000036427","","",""
"2413","ENSCING00000020500","ENSCINT00000030248","","",""
"2414","ENSCING00000020500","ENSCINT00000035407","","",""
"2415","ENSCING00000019922","ENSCINT00000031527","not7","NP_001027611",""
"2416","ENSCING00000009091","ENSCINT00000018444","","","XP_002129256"
"2417","ENSCING00000003736","ENSCINT00000007712","","",""
"2418","ENSCING00000018482","ENSCINT00000032070","","",""
"2419","ENSCING00000003706","ENSCINT00000007635","","","XP_002123224"
"2420","ENSCING00000009092","ENSCINT00000018445","","","XP_002129504"
"2421","ENSCING00000003055","ENSCINT00000006222","","",""
"2422","ENSCING00000011919","ENSCINT00000022787","","","XP_002123423"
"2423","ENSCING00000020672","ENSCINT00000031938","","",""
"2424","ENSCING00000014731","ENSCINT00000026745","","",""
"2425","ENSCING00000018100","ENSCINT00000030558","","",""
"2426","ENSCING00000009093","ENSCINT00000018446","","",""
"2427","ENSCING00000003066","ENSCINT00000006227","","","XP_002128951"
"2428","ENSCING00000022382","ENSCINT00000035304","","","XP_002129480"
"2429","ENSCING00000003704","ENSCINT00000007630","","",""
"2430","ENSCING00000003074","ENSCINT00000006236","","",""
"2431","ENSCING00000006402","ENSCINT00000013204","","","XP_009859998"
"2432","ENSCING00000006402","ENSCINT00000013204","","","XP_002130820"
"2433","ENSCING00000003075","ENSCINT00000006239","","",""
"2434","ENSCING00000024743","ENSCINT00000034064","","","XP_009858899"
"2435","ENSCING00000001057","ENSCINT00000001993","","","XP_002129723"
"2436","ENSCING00000003694","ENSCINT00000007622","","",""
"2437","ENSCING00000014729","ENSCINT00000026743","","",""
"2438","ENSCING00000006400","ENSCINT00000025614","","",""
"2439","ENSCING00000006400","ENSCINT00000013182","","",""
"2440","ENSCING00000009096","ENSCINT00000018455","","","XP_002129769"
"2441","ENSCING00000011918","ENSCINT00000007618","","",""
"2442","ENSCING00000006398","ENSCINT00000013179","","","XP_002130979"
"2443","ENSCING00000011918","ENSCINT00000007615","","",""
"2444","ENSCING00000011918","ENSCINT00000031682","","",""
"2445","ENSCING00000009097","ENSCINT00000018460","","","XP_002129837"
"2446","ENSCING00000003076","ENSCINT00000006244","","",""
"2447","ENSCING00000009098","ENSCINT00000018461","","",""
"2448","ENSCING00000003691","ENSCINT00000007607","","",""
"2449","ENSCING00000009099","ENSCINT00000018463","","","XP_002129987"
"2450","ENSCING00000020670","ENSCINT00000031306","","",""
"2451","ENSCING00000020503","ENSCINT00000036462","","",""
"2452","ENSCING00000014723","ENSCINT00000020808","","",""
"2453","ENSCING00000018313","ENSCINT00000033883","","",""
"2454","ENSCING00000003085","ENSCINT00000026734","","",""
"2455","ENSCING00000009100","ENSCINT00000018469","","","XP_002130040"
"2456","ENSCING00000006395","ENSCINT00000013169","","",""
"2457","ENSCING00000024919","ENSCINT00000035621","","",""
"2458","ENSCING00000019774","ENSCINT00000030669","","",""
"2459","ENSCING00000006390","ENSCINT00000013165","","",""
"2460","ENSCING00000003088","ENSCINT00000006261","","",""
"2461","ENSCING00000003125","ENSCINT00000006310","","","XP_002131213"
"2462","ENSCING00000003128","ENSCINT00000006315","meta4","NP_001027615",""
"2463","ENSCING00000022721","ENSCINT00000030750","","","XP_002131023"
"2464","ENSCING00000003118","ENSCINT00000006307","","","XP_002131327"
"2465","ENSCING00000017993","ENSCINT00000033693","","",""
"2466","ENSCING00000003660","ENSCINT00000007558","","",""
"2467","ENSCING00000018601","ENSCINT00000037072","","",""
"2468","ENSCING00000021056","ENSCINT00000034895","","",""
"2469","ENSCING00000006388","ENSCINT00000013160","","","XP_002131246"
"2470","ENSCING00000020145","ENSCINT00000030498","","",""
"2471","ENSCING00000006467","ENSCINT00000025630","","",""
"2472","ENSCING00000023122","ENSCINT00000036875","","",""
"2473","ENSCING00000014710","ENSCINT00000026712","","",""
"2474","ENSCING00000023735","ENSCINT00000035466","phox2","NP_001037829",""
"2475","ENSCING00000014711","ENSCINT00000026713","","",""
"2476","ENSCING00000023355","ENSCINT00000034671","","",""
"2477","ENSCING00000009101","ENSCINT00000018485","","","XP_002130094"
"2478","ENSCING00000019265","ENSCINT00000032198","","",""
"2479","ENSCING00000023530","ENSCINT00000026723","","",""
"2480","ENSCING00000013766","ENSCINT00000018477","","",""
"2481","ENSCING00000018251","ENSCINT00000035089","","","XP_002128549"
"2482","ENSCING00000023191","ENSCINT00000034662","","","XP_026692123"
"2483","ENSCING00000002874","ENSCINT00000005898","","",""
"2484","ENSCING00000009088","ENSCINT00000018439","","","XP_002129093"
"2485","ENSCING00000006457","ENSCINT00000013284","","","XP_002128661"
"2486","ENSCING00000003109","ENSCINT00000006295","","",""
"2487","ENSCING00000002874","ENSCINT00000005885","","",""
"2488","ENSCING00000002874","ENSCINT00000005891","","",""
"2489","ENSCING00000003103","ENSCINT00000006289","","","XP_002131502"
"2490","ENSCING00000003100","ENSCINT00000006285","","",""
"2491","ENSCING00000013931","ENSCINT00000025629","","",""
"2492","ENSCING00000009089","ENSCINT00000018441","","","XP_002129317"
"2493","ENSCING00000013930","ENSCINT00000025627","","",""
"2494","ENSCING00000020166","ENSCINT00000037135","","",""
"2495","ENSCING00000021467","ENSCINT00000036029","","",""
"2496","ENSCING00000002824","ENSCINT00000005771","","",""
"2497","ENSCING00000003098","ENSCINT00000006279","","",""
"2498","ENSCING00000010224","ENSCINT00000004686","","","XP_002128955"
"2499","ENSCING00000013758","ENSCINT00000025376","sfrp3/4-b","NP_001071813",""
"2500","ENSCING00000018291","ENSCINT00000006274","","",""
"2501","ENSCING00000003094","ENSCINT00000006267","","",""
"2502","ENSCING00000006455","ENSCINT00000013281","","","XP_002129004"
"2503","ENSCING00000002835","ENSCINT00000005783","","",""
"2504","ENSCING00000002923","ENSCINT00000005989","","",""
"2505","ENSCING00000017944","ENSCINT00000032586","","",""
"2506","ENSCING00000011914","ENSCINT00000022784","","",""
"2507","ENSCING00000002821","ENSCINT00000005768","","","XP_026692302"
"2508","ENSCING00000018947","ENSCINT00000031535","","",""
"2509","ENSCING00000018534","ENSCINT00000005764","","",""
"2510","ENSCING00000013754","ENSCINT00000005618","","",""
"2511","ENSCING00000002947","ENSCINT00000006006","","",""
"2512","ENSCING00000023059","ENSCINT00000036258","","",""
"2513","ENSCING00000011912","ENSCINT00000006012","","",""
"2514","ENSCING00000010149","ENSCINT00000020269","","",""
"2515","ENSCING00000006438","ENSCINT00000025626","","","XP_002124766"
"2516","ENSCING00000001761","ENSCINT00000003557","","",""
"2517","ENSCING00000013929","ENSCINT00000025624","","",""
"2518","ENSCING00000011911","ENSCINT00000022782","","",""
"2519","ENSCING00000017317","ENSCINT00000029644","","",""
"2520","ENSCING00000021337","ENSCINT00000030390","","",""
"2521","ENSCING00000013932","ENSCINT00000025631","","",""
"2522","ENSCING00000011910","ENSCINT00000022781","","",""
"2523","ENSCING00000006470","ENSCINT00000013306","","",""
"2524","ENSCING00000019490","ENSCINT00000036498","","",""
"2525","ENSCING00000021892","ENSCINT00000032925","","",""
"2526","ENSCING00000023559","ENSCINT00000030421","","",""
"2527","ENSCING00000013935","ENSCINT00000025634","","",""
"2528","ENSCING00000001758","ENSCINT00000003553","","",""
"2529","ENSCING00000013934","ENSCINT00000025633","","",""
"2530","ENSCING00000007736","ENSCINT00000015875","","",""
"2531","ENSCING00000019761","ENSCINT00000030919","","",""
"2532","ENSCING00000007737","ENSCINT00000015876","","",""
"2533","ENSCING00000001730","ENSCINT00000003497","","",""
"2534","ENSCING00000002747","ENSCINT00000005664","","",""
"2535","ENSCING00000013755","ENSCINT00000005677","","",""
"2536","ENSCING00000001740","ENSCINT00000003511","","",""
"2537","ENSCING00000002787","ENSCINT00000005701","","","XP_009862288"
"2538","ENSCING00000001743","ENSCINT00000003526","","",""
"2539","ENSCING00000020304","ENSCINT00000031741","","",""
"2540","ENSCING00000021444","ENSCINT00000033370","","",""
"2541","ENSCING00000001748","ENSCINT00000003531","","",""
"2542","ENSCING00000002798","ENSCINT00000005709","","",""
"2543","ENSCING00000013882","ENSCINT00000025544","","",""
"2544","ENSCING00000013882","ENSCINT00000025543","","","XP_002127505"
"2545","ENSCING00000013753","ENSCINT00000025372","","","XP_002127929"
"2546","ENSCING00000021704","ENSCINT00000032232","","",""
"2547","ENSCING00000013880","ENSCINT00000025540","","",""
"2548","ENSCING00000005130","ENSCINT00000010557","","",""
"2549","ENSCING00000018579","ENSCINT00000031862","","",""
"2550","ENSCING00000023439","ENSCINT00000037268","","",""
"2551","ENSCING00000001755","ENSCINT00000032436","","",""
"2552","ENSCING00000007766","ENSCINT00000015926","","",""
"2553","ENSCING00000019607","ENSCINT00000035212","","",""
"2554","ENSCING00000001755","ENSCINT00000037032","","",""
"2555","ENSCING00000021806","ENSCINT00000033843","","",""
"2556","ENSCING00000001755","ENSCINT00000003545","","",""
"2557","ENSCING00000014695","ENSCINT00000026689","","","XP_009860720"
"2558","ENSCING00000024524","ENSCINT00000033014","","",""
"2559","ENSCING00000001757","ENSCINT00000003548","","",""
"2560","ENSCING00000002799","ENSCINT00000005714","","",""
"2561","ENSCING00000021551","ENSCINT00000031153","","",""
"2562","ENSCING00000002799","ENSCINT00000005719","","",""
"2563","ENSCING00000011907","ENSCINT00000004306","","",""
"2564","ENSCING00000011908","ENSCINT00000012575","","",""
"2565","ENSCING00000018208","ENSCINT00000032667","","",""
"2566","ENSCING00000019617","ENSCINT00000003522","","",""
"2567","ENSCING00000002803","ENSCINT00000005725","","",""
"2568","ENSCING00000007757","ENSCINT00000015921","","",""
"2569","ENSCING00000023279","ENSCINT00000035592","","",""
"2570","ENSCING00000007755","ENSCINT00000015906","","","XP_002126014"
"2571","ENSCING00000007182","ENSCINT00000014734","","",""
"2572","ENSCING00000022492","ENSCINT00000025550","","",""
"2573","ENSCING00000013889","ENSCINT00000008969","","",""
"2574","ENSCING00000007752","ENSCINT00000015902","","","XP_026692020"
"2575","ENSCING00000007752","ENSCINT00000015902","","","XP_026692019"
"2576","ENSCING00000007752","ENSCINT00000015902","","","XP_026692018"
"2577","ENSCING00000002804","ENSCINT00000025373","","","XP_004225506"
"2578","ENSCING00000007750","ENSCINT00000015900","fli/erg2","NP_001071704",""
"2579","ENSCING00000002811","ENSCINT00000005757","","",""
"2580","ENSCING00000023001","ENSCINT00000035138","","",""
"2581","ENSCING00000002814","ENSCINT00000005760","","",""
"2582","ENSCING00000002784","ENSCINT00000005689","","",""
"2583","ENSCING00000020499","ENSCINT00000034350","","",""
"2584","ENSCING00000000941","ENSCINT00000001701","","",""
"2585","ENSCING00000013749","ENSCINT00000007185","","",""
"2586","ENSCING00000007185","ENSCINT00000014736","","",""
"2587","ENSCING00000007186","ENSCINT00000014737","","","XP_004226219"
"2588","ENSCING00000024395","ENSCINT00000030207","","",""
"2589","ENSCING00000007187","ENSCINT00000014738","","",""
"2590","ENSCING00000013886","ENSCINT00000025549","","",""
"2591","ENSCING00000024985","ENSCINT00000034234","","",""
"2592","ENSCING00000013885","ENSCINT00000025548","","",""
"2593","ENSCING00000007189","ENSCINT00000014740","","","XP_002130901"
"2594","ENSCING00000019067","ENSCINT00000032326","","",""
"2595","ENSCING00000019662","ENSCINT00000031937","","",""
"2596","ENSCING00000007743","ENSCINT00000015883","","","XP_002127021"
"2597","ENSCING00000013884","ENSCINT00000025547","","",""
"2598","ENSCING00000013883","ENSCINT00000025546","","",""
"2599","ENSCING00000021262","ENSCINT00000035368","","",""
"2600","ENSCING00000007190","ENSCINT00000014748","","",""
"2601","ENSCING00000022323","ENSCINT00000032555","","",""
"2602","ENSCING00000002337","ENSCINT00000004818","","","XP_002119350"
"2603","ENSCING00000007740","ENSCINT00000015881","","","XP_002123813"
"2604","ENSCING00000002337","ENSCINT00000004854","","",""
"2605","ENSCING00000007739","ENSCINT00000015878","","",""
"2606","ENSCING00000007768","ENSCINT00000015929","","",""
"2607","ENSCING00000013748","ENSCINT00000025369","","",""
"2608","ENSCING00000007770","ENSCINT00000015930","","",""
"2609","ENSCING00000007191","ENSCINT00000014757","","",""
"2610","ENSCING00000020933","ENSCINT00000037180","","",""
"2611","ENSCING00000002386","ENSCINT00000004872","","","XP_002119706"
"2612","ENSCING00000002405","ENSCINT00000025368","","",""
"2613","ENSCING00000013747","ENSCINT00000025367","","",""
"2614","ENSCING00000024059","ENSCINT00000014723","","",""
"2615","ENSCING00000013892","ENSCINT00000025554","","",""
"2616","ENSCING00000007175","ENSCINT00000014714","","",""
"2617","ENSCING00000021378","ENSCINT00000035558","","",""
"2618","ENSCING00000018092","ENSCINT00000037024","","",""
"2619","ENSCING00000013890","ENSCINT00000025551","","",""
"2620","ENSCING00000019252","ENSCINT00000036040","","","XP_002121771"
"2621","ENSCING00000017971","ENSCINT00000025555","","",""
"2622","ENSCING00000024323","ENSCINT00000034765","","",""
"2623","ENSCING00000020634","ENSCINT00000036118","","",""
"2624","ENSCING00000002414","ENSCINT00000004922","","","XP_009862189"
"2625","ENSCING00000002414","ENSCINT00000004922","","","XP_002120226"
"2626","ENSCING00000002434","ENSCINT00000004934","","",""
"2627","ENSCING00000007176","ENSCINT00000014717","","",""
"2628","ENSCING00000002435","ENSCINT00000025366","","",""
"2629","ENSCING00000021224","ENSCINT00000036676","","",""
"2630","ENSCING00000013894","ENSCINT00000025558","","",""
"2631","ENSCING00000002446","ENSCINT00000004961","","","XP_002121137"
"2632","ENSCING00000007774","ENSCINT00000015936","","",""
"2633","ENSCING00000013893","ENSCINT00000025557","","",""
"2634","ENSCING00000002449","ENSCINT00000004969","","",""
"2635","ENSCING00000002451","ENSCINT00000004973","","",""
"2636","ENSCING00000010852","ENSCINT00000020784","","","XP_002121677"
"2637","ENSCING00000020749","ENSCINT00000025365","","",""
"2638","ENSCING00000007772","ENSCINT00000015935","","",""
"2639","ENSCING00000019414","ENSCINT00000033723","","",""
"2640","ENSCING00000023745","ENSCINT00000030353","","",""
"2641","ENSCING00000013745","ENSCINT00000025362","","",""
"2642","ENSCING00000013744","ENSCINT00000025361","","",""
"2643","ENSCING00000019109","ENSCINT00000030651","","",""
"2644","ENSCING00000007771","ENSCINT00000015931","","",""
"2645","ENSCING00000003853","ENSCINT00000007960","","",""
"2646","ENSCING00000019893","ENSCINT00000015945","","",""
"2647","ENSCING00000024087","ENSCINT00000031504","","",""
"2648","ENSCING00000020838","ENSCINT00000036403","","",""
"2649","ENSCING00000013897","ENSCINT00000025563","","",""
"2650","ENSCING00000013743","ENSCINT00000025358","","",""
"2651","ENSCING00000022483","ENSCINT00000036600","","",""
"2652","ENSCING00000007177","ENSCINT00000014720","","",""
"2653","ENSCING00000007778","ENSCINT00000015941","","","XP_002119408"
"2654","ENSCING00000003880","ENSCINT00000008011","","","XP_018667529"
"2655","ENSCING00000003880","ENSCINT00000008011","","","XP_002123929"
"2656","ENSCING00000024054","ENSCINT00000034598","","",""
"2657","ENSCING00000007776","ENSCINT00000025560","","",""
"2658","ENSCING00000007178","ENSCINT00000014727","","",""
"2659","ENSCING00000003885","ENSCINT00000008020","","",""
"2660","ENSCING00000025011","ENSCINT00000031488","","",""
"2661","ENSCING00000013742","ENSCINT00000025357","","",""
"2662","ENSCING00000007782","ENSCINT00000015950","","",""
"2663","ENSCING00000003890","ENSCINT00000008023","","",""
"2664","ENSCING00000019900","ENSCINT00000032931","","",""
"2665","ENSCING00000003894","ENSCINT00000008031","","",""
"2666","ENSCING00000007174","ENSCINT00000014713","","",""
"2667","ENSCING00000007792","ENSCINT00000015974","","",""
"2668","ENSCING00000003902","ENSCINT00000008085","ck2b","NP_001027591",""
"2669","ENSCING00000023412","ENSCINT00000035150","","",""
"2670","ENSCING00000007791","ENSCINT00000015962","","","XP_002127699"
"2671","ENSCING00000022350","ENSCINT00000030464","","",""
"2672","ENSCING00000007168","ENSCINT00000014707","","",""
"2673","ENSCING00000003920","ENSCINT00000008100","","",""
"2674","ENSCING00000018263","ENSCINT00000032218","","",""
"2675","ENSCING00000020852","ENSCINT00000034387","","",""
"2676","ENSCING00000024096","ENSCINT00000036327","","",""
"2677","ENSCING00000012488","ENSCINT00000019654","","",""
"2678","ENSCING00000005447","ENSCINT00000011263","","","XP_004225510"
"2679","ENSCING00000019512","ENSCINT00000034527","","",""
"2680","ENSCING00000021898","ENSCINT00000034723","","",""
"2681","ENSCING00000007170","ENSCINT00000014709","","","XP_002129695"
"2682","ENSCING00000017452","ENSCINT00000029782","","","XP_026694919"
"2683","ENSCING00000017452","ENSCINT00000029782","","","XP_002126650"
"2684","ENSCING00000017452","ENSCINT00000029782","","","XP_002125710"
"2685","ENSCING00000002334","ENSCINT00000004747","","","XP_002129962"
"2686","ENSCING00000019756","ENSCINT00000033565","","","XP_002129765"
"2687","ENSCING00000007173","ENSCINT00000014712","","",""
"2688","ENSCING00000017902","ENSCINT00000036245","","",""
"2689","ENSCING00000018290","ENSCINT00000031307","","",""
"2690","ENSCING00000001380","ENSCINT00000002691","","",""
"2691","ENSCING00000013738","ENSCINT00000025351","","",""
"2692","ENSCING00000019748","ENSCINT00000034204","","",""
"2693","ENSCING00000011904","ENSCINT00000022772","","",""
"2694","ENSCING00000005440","ENSCINT00000011239","","",""
"2695","ENSCING00000021076","ENSCINT00000030214","","",""
"2696","ENSCING00000015319","ENSCINT00000011202","","",""
"2697","ENSCING00000022500","ENSCINT00000034667","","",""
"2698","ENSCING00000019336","ENSCINT00000033228","","",""
"2699","ENSCING00000007165","ENSCINT00000022770","","",""
"2700","ENSCING00000020240","ENSCINT00000014703","","",""
"2701","ENSCING00000005429","ENSCINT00000011221","","",""
"2702","ENSCING00000020322","ENSCINT00000033766","","",""
"2703","ENSCING00000005425","ENSCINT00000011188","","",""
"2704","ENSCING00000024867","ENSCINT00000031173","","",""
"2705","ENSCING00000013737","ENSCINT00000025348","","",""
"2706","ENSCING00000013736","ENSCINT00000025346","","",""
"2707","ENSCING00000022615","ENSCINT00000035070","","",""
"2708","ENSCING00000003573","ENSCINT00000007354","","",""
"2709","ENSCING00000007164","ENSCINT00000014702","","","XP_002130878"
"2710","ENSCING00000010274","ENSCINT00000020452","","",""
"2711","ENSCING00000017447","ENSCINT00000029778","","",""
"2712","ENSCING00000003562","ENSCINT00000007344","","","XP_018667726"
"2713","ENSCING00000003562","ENSCINT00000007344","","","XP_026694852"
"2714","ENSCING00000003562","ENSCINT00000007344","","","XP_018667721"
"2715","ENSCING00000003562","ENSCINT00000007344","","","XP_009862195"
"2716","ENSCING00000023474","ENSCINT00000033140","","",""
"2717","ENSCING00000003540","ENSCINT00000007315","","",""
"2718","ENSCING00000007163","ENSCINT00000014701","eph3","NP_001071691",""
"2719","ENSCING00000013735","ENSCINT00000025343","","",""
"2720","ENSCING00000003577","ENSCINT00000007360","","",""
"2721","ENSCING00000022266","ENSCINT00000035320","","",""
"2722","ENSCING00000023378","ENSCINT00000031158","","",""
"2723","ENSCING00000019552","ENSCINT00000036094","","",""
"2724","ENSCING00000011900","ENSCINT00000002583","","",""
"2725","ENSCING00000003584","ENSCINT00000007379","","",""
"2726","ENSCING00000003584","ENSCINT00000029534","","",""
"2727","ENSCING00000018119","ENSCINT00000037296","","",""
"2728","ENSCING00000010675","ENSCINT00000021137","","",""
"2729","ENSCING00000013733","ENSCINT00000025341","","",""
"2730","ENSCING00000023000","ENSCINT00000034750","","",""
"2731","ENSCING00000003590","ENSCINT00000029366","","",""
"2732","ENSCING00000023423","ENSCINT00000036674","","",""
"2733","ENSCING00000002701","ENSCINT00000005505","","",""
"2734","ENSCING00000013731","ENSCINT00000025339","","",""
"2735","ENSCING00000023932","ENSCINT00000032993","","",""
"2736","ENSCING00000025090","ENSCINT00000030970","","",""
"2737","ENSCING00000005326","ENSCINT00000010941","","",""
"2738","ENSCING00000005328","ENSCINT00000010949","","",""
"2739","ENSCING00000018643","ENSCINT00000026572","","",""
"2740","ENSCING00000005255","ENSCINT00000010801","","","XP_026689346"
"2741","ENSCING00000005255","ENSCINT00000010801","","","XP_026689345"
"2742","ENSCING00000005255","ENSCINT00000010801","","","XP_018667681"
"2743","ENSCING00000005255","ENSCINT00000010801","","","XP_002130655"
"2744","ENSCING00000011899","ENSCINT00000022765","","",""
"2745","ENSCING00000018052","ENSCINT00000035727","","",""
"2746","ENSCING00000015385","ENSCINT00000027559","","",""
"2747","ENSCING00000015395","ENSCINT00000027573","","",""
"2748","ENSCING00000007161","ENSCINT00000014699","","",""
"2749","ENSCING00000018103","ENSCINT00000033635","","",""
"2750","ENSCING00000007160","ENSCINT00000014698","","",""
"2751","ENSCING00000024389","ENSCINT00000036269","","",""
"2752","ENSCING00000019218","ENSCINT00000032017","","",""
"2753","ENSCING00000007159","ENSCINT00000014697","","",""
"2754","ENSCING00000019834","ENSCINT00000032882","","",""
"2755","ENSCING00000011895","ENSCINT00000022760","","",""
"2756","ENSCING00000011897","ENSCINT00000022762","","",""
"2757","ENSCING00000021253","ENSCINT00000032155","","",""
"2758","ENSCING00000017923","ENSCINT00000030621","","",""
"2759","ENSCING00000005258","ENSCINT00000010833","","","XP_002130758"
"2760","ENSCING00000022417","ENSCINT00000034956","","",""
"2761","ENSCING00000005299","ENSCINT00000010911","","","XP_009862191"
"2762","ENSCING00000005299","ENSCINT00000010911","","","XP_018667418"
"2763","ENSCING00000005299","ENSCINT00000010911","","","XP_009862190"
"2764","ENSCING00000005310","ENSCINT00000010924","","","XP_002130940"
"2765","ENSCING00000005313","ENSCINT00000010928","","",""
"2766","ENSCING00000005321","ENSCINT00000010936","","",""
"2767","ENSCING00000025014","ENSCINT00000036060","","",""
"2768","ENSCING00000005246","ENSCINT00000010791","","","XP_002130502"
"2769","ENSCING00000005252","ENSCINT00000010798","","","XP_026689360"
"2770","ENSCING00000020642","ENSCINT00000033548","","","XP_026689362"
"2771","ENSCING00000019343","ENSCINT00000031360","","",""
"2772","ENSCING00000021706","ENSCINT00000030753","","",""
"2773","ENSCING00000024085","ENSCINT00000035832","","",""
"2774","ENSCING00000005241","ENSCINT00000010774","","",""
"2775","ENSCING00000007153","ENSCINT00000014691","","","XP_002129608"
"2776","ENSCING00000007153","ENSCINT00000014691","","","XP_009859007"
"2777","ENSCING00000011890","ENSCINT00000022752","","",""
"2778","ENSCING00000005237","ENSCINT00000010768","","",""
"2779","ENSCING00000005236","ENSCINT00000010763","","","XP_002124332"
"2780","ENSCING00000013725","ENSCINT00000006533","","",""
"2781","ENSCING00000011891","ENSCINT00000022753","","",""
"2782","ENSCING00000011893","ENSCINT00000004391","","",""
"2783","ENSCING00000007154","ENSCINT00000014692","","","XP_002130108"
"2784","ENSCING00000013724","ENSCINT00000025327","","","XP_002124793"
"2785","ENSCING00000007155","ENSCINT00000014693","","",""
"2786","ENSCING00000018237","ENSCINT00000032494","","",""
"2787","ENSCING00000013723","ENSCINT00000025326","","",""
"2788","ENSCING00000011894","ENSCINT00000022757","","",""
"2789","ENSCING00000022236","ENSCINT00000032303","","",""
"2790","ENSCING00000018856","ENSCINT00000022759","","",""
"2791","ENSCING00000021201","ENSCINT00000031317","","",""
"2792","ENSCING00000021908","ENSCINT00000032008","","",""
"2793","ENSCING00000013722","ENSCINT00000025325","","",""
"2794","ENSCING00000019045","ENSCINT00000030221","","",""
"2795","ENSCING00000005225","ENSCINT00000010738","","","XP_009862208"
"2796","ENSCING00000013721","ENSCINT00000025324","","",""
"2797","ENSCING00000022013","ENSCINT00000034930","","",""
"2798","ENSCING00000013719","ENSCINT00000010728","","",""
"2799","ENSCING00000024060","ENSCINT00000025322","","",""
"2800","ENSCING00000002726","ENSCINT00000005564","","",""
"2801","ENSCING00000005206","ENSCINT00000010723","","","XP_002126864"
"2802","ENSCING00000017907","ENSCINT00000033855","","","XP_002129431"
"2803","ENSCING00000022209","ENSCINT00000036397","","",""
"2804","ENSCING00000002723","ENSCINT00000005552","","","XP_002129689"
"2805","ENSCING00000018013","ENSCINT00000031990","","",""
"2806","ENSCING00000009741","ENSCINT00000019778","","","XP_002128975"
"2807","ENSCING00000005192","ENSCINT00000010684","","",""
"2808","ENSCING00000022524","ENSCINT00000036261","","",""
"2809","ENSCING00000024063","ENSCINT00000031471","","",""
"2810","ENSCING00000018914","ENSCINT00000035467","","",""
"2811","ENSCING00000009739","ENSCINT00000019776","","","XP_002129104"
"2812","ENSCING00000018557","ENSCINT00000032986","","",""
"2813","ENSCING00000022893","ENSCINT00000031008","","",""
"2814","ENSCING00000009737","ENSCINT00000019774","","",""
"2815","ENSCING00000005173","ENSCINT00000010661","","",""
"2816","ENSCING00000023982","ENSCINT00000010653","","",""
"2817","ENSCING00000010654","ENSCINT00000021107","yb1/2/3","NP_001072010",""
"2818","ENSCING00000010654","ENSCINT00000010620","yb1/2/3","NP_001072039","XP_009862112"
"2819","ENSCING00000001586","ENSCINT00000003167","","",""
"2820","ENSCING00000020884","ENSCINT00000031076","","",""
"2821","ENSCING00000019533","ENSCINT00000032463","","",""
"2822","ENSCING00000020049","ENSCINT00000031525","","",""
"2823","ENSCING00000011887","ENSCINT00000022748","","","XP_002130538"
"2824","ENSCING00000011887","ENSCINT00000022748","","","XP_009859010"
"2825","ENSCING00000007705","ENSCINT00000015811","","","XP_002130579"
"2826","ENSCING00000007704","ENSCINT00000015810","","","XP_002130598"
"2827","ENSCING00000007700","ENSCINT00000015783","","",""
"2828","ENSCING00000011888","ENSCINT00000022749","","",""
"2829","ENSCING00000007684","ENSCINT00000015772","","",""
"2830","ENSCING00000011889","ENSCINT00000022750","","",""
"2831","ENSCING00000020934","ENSCINT00000035543","","",""
"2832","ENSCING00000025128","ENSCINT00000036084","","",""
"2833","ENSCING00000020115","ENSCINT00000032955","","",""
"2834","ENSCING00000007706","ENSCINT00000015815","","",""
"2835","ENSCING00000011883","ENSCINT00000022742","","",""
"2836","ENSCING00000005158","ENSCINT00000010638","","",""
"2837","ENSCING00000011883","ENSCINT00000022741","","",""
"2838","ENSCING00000007715","ENSCINT00000015830","","",""
"2839","ENSCING00000024510","ENSCINT00000032176","","",""
"2840","ENSCING00000007714","ENSCINT00000015829","","",""
"2841","ENSCING00000007713","ENSCINT00000003011","","",""
"2842","ENSCING00000011884","ENSCINT00000022743","","",""
"2843","ENSCING00000011885","ENSCINT00000022744","","",""
"2844","ENSCING00000010047","ENSCINT00000020167","","",""
"2845","ENSCING00000005158","ENSCINT00000032905","","",""
"2846","ENSCING00000010044","ENSCINT00000020164","","",""
"2847","ENSCING00000013718","ENSCINT00000025321","","",""
"2848","ENSCING00000019264","ENSCINT00000031250","","",""
