"","ensembl_transcript_id","KHID","KHname","ensembl_gene_id","external_gene_name","refseq_peptide","refseq_peptide_predicted"
"2677","ENSCINT00000008284","KH.L19.10","C54G4.7","ENSCING00000004020","","",""
"2678","ENSCINT00000008292","KH.C1.759","SLC12A8","ENSCING00000004023","","",""
"2679","ENSCINT00000008294","KH.L19.10","C54G4.7","ENSCING00000004020","","",""
"2680","ENSCINT00000008297","KH.C2.413","KH2013:KH.C2.413","ENSCING00000004024","","",""
"2681","ENSCINT00000008302","KH.C2.456","KH2013:KH.C2.456_MEP1/2/3","ENSCING00000004026","amt-1","NP_001027965","XP_009857502"
"2682","ENSCINT00000008305","KH.L19.15","NT5E","ENSCING00000023290","","",""
"2683","ENSCINT00000008311","KH.C1.726","SLC9A6/7/9","ENSCING00000004022","","",""
"2684","ENSCINT00000008312","KH.C6.102","PRSS16","ENSCING00000004029","","",""
"2685","ENSCINT00000008317","KH.C6.65","CACNA1H","ENSCING00000004031","","",""
"2686","ENSCINT00000008319","KH.C6.284","KH2013:KH.C6.284_TMEM150A","ENSCING00000004033","","",""
"2687","ENSCINT00000008324","KH.C1.83","GNB2L1","ENSCING00000004025","","","XP_002123107"
"2688","ENSCINT00000008326","KH.C6.104","DLG5","ENSCING00000004037","","",""
"2689","ENSCINT00000008327","KH.C1.247","SPEN","ENSCING00000004036","","",""
"2690","ENSCINT00000008328","KH.C6.129","HLH-4","ENSCING00000004039","","","XP_018667723"
"2691","ENSCINT00000008329","KH.C1.247","SPEN","ENSCING00000004040","","",""
"2692","ENSCINT00000008335","KH.C10.347","ABHD11","ENSCING00000004042","","",""
"2693","ENSCINT00000008336","KH.C6.43","OCRL","ENSCING00000004041","","",""
"2694","ENSCINT00000008339","KH.C1.835","ERGIC1","ENSCING00000004043","","",""
"2695","ENSCINT00000008340","KH.C2.1026","STARD13/8","ENSCING00000004038","","",""
"2696","ENSCINT00000008341","KH.C1.275","STAT5B","ENSCING00000004044","stat-b","NP_001071828",""
"2697","ENSCINT00000008349","KH.C6.237","KH2013:KH.C6.237","ENSCING00000004048","","","XP_002121321"
"2698","ENSCINT00000008353","KH.C6.29","PSPC1","ENSCING00000004050","","",""
"2699","ENSCINT00000008357","KH.C2.1069","IM:7138239","ENSCING00000004052","","","XP_002121352"
"2700","ENSCINT00000008361","KH.S762.1","KH2013:KH.S762.1_QDR1/2/3","ENSCING00000004055","","",""
"2701","ENSCINT00000008362","KH.C2.421","ADMP","ENSCING00000004054","","",""
"2702","ENSCINT00000008369","KH.C2.421","ADMP","ENSCING00000004058","","",""
"2703","ENSCINT00000008370","KH.C7.206","ZNF622","ENSCING00000004045","","",""
"2704","ENSCINT00000008374","KH.C6.295","ANKRD29","ENSCING00000004063","","","XP_002119458"
"2705","ENSCINT00000008379","KH.C2.829","ESD","ENSCING00000004060","","",""
"2706","ENSCINT00000008382","KH.C14.361","ATIC","ENSCING00000004059","","","XP_002128652"
"2707","ENSCINT00000008384","KH.C13.162","COMMD5","ENSCING00000004068","","",""
"2708","ENSCINT00000008387","KH.C14.114","DNAJC8","ENSCING00000004069","","","XP_018670332"
"2709","ENSCINT00000008390","KH.C7.566","TTC30A/1/2","ENSCING00000004071","","",""
"2710","ENSCINT00000008395","KH.S1336.2","KH2013:KH.S1336.2_JMJD5","ENSCING00000004073","","","XP_002129532"
"2711","ENSCINT00000008397","KH.S1336.3","KH2013:KH.S1336.3","ENSCING00000004077","","",""
"2712","ENSCINT00000008398","KH.C7.680","KH2013:KH.C7.680_STAB1/2","ENSCING00000004078","","","XP_009858924"
"2713","ENSCINT00000008399","KH.C14.178","HMGB1/2/3","ENSCING00000004075","hmg1/2","NP_001071733",""
"2714","ENSCINT00000008403","KH.C7.772","CRYZ","ENSCING00000004079","","",""
"2715","ENSCINT00000008404","KH.C14.606","KLHL18/20","ENSCING00000004080","","",""
"2716","ENSCINT00000008406","KH.C6.234","CYP4F13/14/15/16/17/18/40","ENSCING00000004066","","","XP_018667763"
"2717","ENSCINT00000008411","KH.C7.452","RAB19/43","ENSCING00000004082","","",""
"2718","ENSCINT00000008413","KH.C7.491","L3MBTL1/3/4","ENSCING00000004084","","",""
"2719","ENSCINT00000008414","KH.C1.539","KH2013:KH.C1.539_HNRNPA1/3","ENSCING00000004062","","",""
"2720","ENSCINT00000008420","KH.C6.152","LATS1/2","ENSCING00000004083","","",""
"2721","ENSCINT00000008425","KH.C14.86","KH2013:KH.C14.86","ENSCING00000004086","","",""
"2722","ENSCINT00000008428","KH.C6.152","LATS1/2","ENSCING00000014641","","",""
"2723","ENSCINT00000008429","KH.C6.152","LATS1/2","ENSCING00000004089","","",""
"2724","ENSCINT00000008430","KH.C7.387","KH2013:KH.C7.387_CPB1/2","ENSCING00000004085","","",""
"2725","ENSCINT00000008432","KH.C14.138","TRDMT1","ENSCING00000004088","","","XP_002128135"
"2726","ENSCINT00000008433","KH.C6.110","KH2013:KH.C6.110","ENSCING00000004090","","","XP_026690703"
"2727","ENSCINT00000008438","KH.C6.211","LTBP2/4","ENSCING00000017570","","",""
"2728","ENSCINT00000008440","KH.C7.413","4933427G17RIK","ENSCING00000004093","","",""
"2729","ENSCINT00000008442","KH.C14.264","BBS7","ENSCING00000004092","","",""
"2730","ENSCINT00000008451","KH.C7.737","BCS1L","ENSCING00000023197","","",""
"2731","ENSCINT00000008452","KH.C14.544","LDB1/2","ENSCING00000014405","","",""
"2732","ENSCINT00000008456","KH.C1.487","TIMELESS","ENSCING00000002042","","",""
"2733","ENSCINT00000008458","KH.L147.30","MMP1/10/13/16","ENSCING00000004100","","",""
"2734","ENSCINT00000008460","KH.L147.10","TAF5L","ENSCING00000004104","","",""
"2735","ENSCINT00000008461","KH.C7.146","TERF1","ENSCING00000019849","","",""
"2736","ENSCINT00000008463","KH.C7.146","TERF1","ENSCING00000004103","","",""
"2737","ENSCINT00000008464","KH.C14.221","RBM47","ENSCING00000004101","","",""
"2738","ENSCINT00000008465","KH.L147.22","MAP2K1/2","ENSCING00000004105","mapkk1/2","NP_001071954",""
"2739","ENSCINT00000008466","KH.L28.8","FGF11/12/13/14","ENSCING00000004107","","",""
"2740","ENSCINT00000008469","KH.C14.257","RTDR1","ENSCING00000004109","ci-arm37","NP_001157170",""
"2741","ENSCINT00000008474","KH.C5.26","KH2013:KH.C5.26_CSAD","ENSCING00000004106","","","XP_026690305"
"2742","ENSCINT00000008474","KH.C5.26","KH2013:KH.C5.26_CSAD","ENSCING00000004106","","","XP_026690307"
"2743","ENSCINT00000008477","KH.C14.50","ACAD10","ENSCING00000004111","","",""
"2744","ENSCINT00000008479","KH.L147.5","TMEM164","ENSCING00000004114","","","XP_002129750"
"2745","ENSCINT00000008481","KH.C14.50","ACAD10","ENSCING00000004111","","",""
"2746","ENSCINT00000008489","KH.L147.11","SGSM1/2","ENSCING00000004117","","",""
"2747","ENSCINT00000008490","KH.C14.377","ALX1/3","ENSCING00000004120","","","XP_026693234"
"2748","ENSCINT00000008492","KH.S2264.1","SNRNP48","ENSCING00000004121","","","XP_009859934"
"2749","ENSCINT00000008492","KH.S2264.1","SNRNP48","ENSCING00000004121","","","XP_002126776"
"2750","ENSCINT00000008493","KH.C5.77","KH2013:KH.C5.77_SPTLC1","ENSCING00000004115","","",""
"2751","ENSCINT00000008495","KH.L155.15","SMARCA1/5","ENSCING00000004110","swi/snf","NP_001071967",""
"2752","ENSCINT00000008498","KH.L147.9","COBRA1","ENSCING00000004122","","","XP_002130034"
"2753","ENSCINT00000008501","KH.S388.5","DNAH3/6","ENSCING00000004123","","",""
"2754","ENSCINT00000008504","KH.L145.1","TYW1","ENSCING00000004125","","",""
"2755","ENSCINT00000008506","KH.C5.453","KH2013:KH.C5.453_SPTLC1","ENSCING00000012271","","",""
"2756","ENSCINT00000008513","KH.L145.2","KH2013:KH.L145.2_ANKFY1","ENSCING00000004126","","",""
"2757","ENSCINT00000008517","KH.L145.2","KH2013:KH.L145.2_ANKFY1","ENSCING00000024398","","",""
"2758","ENSCINT00000008523","KH.L147.33","BRAP","ENSCING00000004128","","","XP_002130211"
"2759","ENSCINT00000008524","KH.S643.2","KH2013:KH.S643.2_BBOX1","ENSCING00000004129","","","XP_002119838"
"2760","ENSCINT00000008524","KH.S643.2","KH2013:KH.S643.2_BBOX1","ENSCING00000004129","","","XP_018672682"
"2761","ENSCINT00000008531","KH.S256.1","WEE/1","ENSCING00000004131","","",""
"2762","ENSCINT00000008537","KH.C5.413","KH2013:KH.C5.413_ECM38","ENSCING00000004127","","",""
"2763","ENSCINT00000008540","KH.C2.501","FAM113A","ENSCING00000004135","","",""
"2764","ENSCINT00000008544","KH.C2.718","TBC1D15/17","ENSCING00000004137","","",""
"2765","ENSCINT00000008545","KH.C8.187","TCERG1","ENSCING00000013286","","",""
"2766","ENSCINT00000008547","KH.C2.24","TCEB3","ENSCING00000004138","","","XP_009857518"
"2767","ENSCINT00000008547","KH.C2.24","TCEB3","ENSCING00000004138","","","XP_026696442"
"2768","ENSCINT00000008553","KH.L147.15","SGSM3","ENSCING00000004136","","",""
"2769","ENSCINT00000008557","KH.C2.265","PKLR","ENSCING00000004140","","",""
"2770","ENSCINT00000008564","KH.L147.19","ACADVL","ENSCING00000004143","","",""
"2771","ENSCINT00000008568","KH.C5.42","KH2013:KH.C5.42","ENSCING00000004142","","","XP_002131814"
"2772","ENSCINT00000008570","KH.C2.471","DDX17/5","ENSCING00000004147","","",""
"2773","ENSCINT00000008574","KH.L155.2","CLCN3/4/5","ENSCING00000004141","","","XP_002127837"
"2774","ENSCINT00000008579","KH.C2.173","ATR","ENSCING00000018610","","",""
"2775","ENSCINT00000008581","KH.C5.130","KR-H1","ENSCING00000004152","zf(c2h2)-27","NP_001071971","XP_026690218"
"2776","ENSCINT00000008581","KH.C5.130","KR-H1","ENSCING00000004152","zf(c2h2)-27","NP_001071971","XP_018667380"
"2777","ENSCINT00000008581","KH.C5.130","KR-H1","ENSCING00000004152","zf(c2h2)-27","NP_001072041","XP_018667380"
"2778","ENSCINT00000008581","KH.C5.130","KR-H1","ENSCING00000004152","zf(c2h2)-27","NP_001072041","XP_026690218"
"2779","ENSCINT00000008587","KH.C14.462","KH2013:KH.C14.462_MATN1/4","ENSCING00000021489","","",""
"2780","ENSCINT00000008588","KH.C2.246","PDIA6","ENSCING00000004153","","",""
"2781","ENSCINT00000008590","KH.C14.462","KH2013:KH.C14.462_MATN1/4","ENSCING00000004154","","",""
"2782","ENSCINT00000008596","KH.C14.503","KH2013:KH.C14.503","ENSCING00000004157","","",""
"2783","ENSCINT00000008598","KH.C2.297","KH2013:KH.C2.297","ENSCING00000004158","","","XP_026696303"
"2784","ENSCINT00000008602","KH.C14.522","SCFD2","ENSCING00000004159","","","XP_002123537"
"2785","ENSCINT00000008603","KH.C2.203","EFCAB4BB","ENSCING00000004160","","",""
"2786","ENSCINT00000008606","KH.C2.203","EFCAB4BB","ENSCING00000004163","","",""
"2787","ENSCINT00000008607","KH.L147.3","FAH","ENSCING00000004146","","","XP_004227064"
"2788","ENSCINT00000008610","KH.C2.57","YTHDF1/2/3","ENSCING00000004166","","",""
"2789","ENSCINT00000008611","KH.C14.318","TRAP1","ENSCING00000004162","","",""
"2790","ENSCINT00000008614","KH.C2.57","YTHDF1/2/3","ENSCING00000004166","","",""
"2791","ENSCINT00000008615","KH.C14.223","KH2013:KH.C14.223_TRIP4","ENSCING00000020094","","",""
"2792","ENSCINT00000008617","KH.C2.57","YTHDF1/2/3","ENSCING00000004166","","",""
"2793","ENSCINT00000008619","KH.C14.223","KH2013:KH.C14.223_TRIP4","ENSCING00000004168","","",""
"2794","ENSCINT00000008621","KH.L28.5","KH2013:KH.L28.5_FAF/2","ENSCING00000004167","","",""
"2795","ENSCINT00000008631","KH.C2.330","KH2013:KH.C2.330_ACP2","ENSCING00000004174","","",""
"2796","ENSCINT00000008632","KH.L24.7","PCMTD1/2","ENSCING00000004970","","",""
"2797","ENSCINT00000008636","KH.C2.293","CWF19L2","ENSCING00000004178","","",""
"2798","ENSCINT00000008637","KH.L147.8","RPAP1","ENSCING00000004177","","",""
"2799","ENSCINT00000008641","KH.C4.443","BRF/1","ENSCING00000004176","","",""
"2800","ENSCINT00000008644","KH.C4.443","BRF/1","ENSCING00000004176","","",""
"2801","ENSCINT00000008646","KH.L155.1","SPATA18","ENSCING00000004164","","",""
"2802","ENSCINT00000008649","KH.C4.227","KH2013:KH.C4.227","ENSCING00000004184","","",""
"2803","ENSCINT00000008650","KH.L122.3","COQ6","ENSCING00000004181","","",""
"2804","ENSCINT00000008651","KH.C2.967","TRIB1/2/3","ENSCING00000004185","","",""
"2805","ENSCINT00000008653","KH.L60.3","FBXO21","ENSCING00000004182","","",""
"2806","ENSCINT00000008655","KH.C12.652","KH2013:KH.C12.652_RBPJ","ENSCING00000004186","","",""
"2807","ENSCINT00000008656","KH.C2.425","PPP1R12B","ENSCING00000004189","","",""
"2808","ENSCINT00000008658","KH.C4.142","BTBD3/6","ENSCING00000004187","","",""
"2809","ENSCINT00000008660","KH.C12.211","SI:CH211-67E16.11","ENSCING00000004191","","",""
"2810","ENSCINT00000008664","KH.C2.216","RPLP1","ENSCING00000004193","","",""
"2811","ENSCINT00000008666","KH.C14.427","FARSB","ENSCING00000004180","","",""
"2812","ENSCINT00000008667","KH.L122.14","KH2013:KH.L122.14_JMJD5","ENSCING00000004188","mina53-like1","NP_001027828","XP_026693767"
"2813","ENSCINT00000008667","KH.L122.14","KH2013:KH.L122.14_JMJD5","ENSCING00000004188","mina53-like1","NP_001027828","XP_026693768"
"2814","ENSCINT00000008668","KH.C12.460","ERLIN1/2","ENSCING00000004195","","","XP_002127010"
"2815","ENSCINT00000008672","KH.C12.143","EIF4E-3/4/5","ENSCING00000004199","","",""
"2816","ENSCINT00000008673","KH.C2.799","EIF2B2","ENSCING00000004197","","","XP_002131599"
"2817","ENSCINT00000008676","KH.C2.799","EIF2B2","ENSCING00000004197","","",""
"2818","ENSCINT00000008677","KH.C12.457","TFAM","ENSCING00000004200","","NP_001072002",""
"2819","ENSCINT00000008678","KH.L122.1","SRSF2","ENSCING00000004198","","",""
"2820","ENSCINT00000008682","KH.L155.7","KH2013:KH.L155.7_DLL1/4","ENSCING00000004194","delta","NP_001071677",""
"2821","ENSCINT00000008684","KH.C12.593","MRPL17/8","ENSCING00000004204","","","XP_002127164"
"2822","ENSCINT00000008684","KH.C12.593","MRPL17/8","ENSCING00000004204","","","XP_009860522"
"2823","ENSCINT00000008685","KH.C4.637","DCAF5","ENSCING00000013607","","",""
"2824","ENSCINT00000008687","KH.C12.564","SMG8","ENSCING00000004205","","",""
"2825","ENSCINT00000008688","KH.C14.431","SLC10A4","ENSCING00000004206","","",""
"2826","ENSCINT00000008691","KH.C12.291","KH2013:KH.C12.291","ENSCING00000004209","","",""
"2827","ENSCINT00000008692","KH.C14.280","MBTD1","ENSCING00000023612","","",""
"2828","ENSCINT00000008693","KH.C12.500","NUP43","ENSCING00000004212","","","XP_002127557"
"2829","ENSCINT00000008695","KH.C2.486","NPC1","ENSCING00000004202","","",""
"2830","ENSCINT00000008699","KH.L59.5","SLMAP","ENSCING00000004210","","",""
"2831","ENSCINT00000008700","KH.C2.486","NPC1","ENSCING00000004214","","",""
"2832","ENSCINT00000008701","KH.C12.459","KH2013:KH.C12.459_XIAP","ENSCING00000004216","","","XP_002127578"
"2833","ENSCINT00000008702","KH.C14.280","MBTD1","ENSCING00000004208","","",""
"2834","ENSCINT00000008707","KH.C9.333","KH2013:KH.C9.333_STOM","ENSCING00000004219","","",""
"2835","ENSCINT00000008708","KH.C4.460","SNX32/5/6","ENSCING00000004211","","",""
"2836","ENSCINT00000008711","KH.S1337.1","NTHL1","ENSCING00000015205","","","XP_002124717"
"2837","ENSCINT00000008718","KH.C2.810","SERINC1/2/3","ENSCING00000004218","","","XP_009857528"
"2838","ENSCINT00000008718","KH.C2.810","SERINC1/2/3","ENSCING00000004218","","","XP_009857527"
"2839","ENSCINT00000008719","KH.C12.35","SCAF4/8","ENSCING00000004224","","",""
"2840","ENSCINT00000008721","KH.C14.559","PDS5A","ENSCING00000019049","","",""
"2841","ENSCINT00000008723","KH.C12.299","ERGIC3","ENSCING00000004225","","","XP_009860519"
"2842","ENSCINT00000008726","KH.C12.441","IGF2BP1/2/3","ENSCING00000004227","","",""
"2843","ENSCINT00000008727","KH.C3.399","USP7","ENSCING00000004226","","",""
"2844","ENSCINT00000008729","KH.C14.109","UBA5","ENSCING00000004228","","",""
"2845","ENSCINT00000008730","KH.C2.420","PTPN3/4","ENSCING00000004230","","",""
"2846","ENSCINT00000008735","KH.C2.426","NLRC3","ENSCING00000004232","","",""
"2847","ENSCINT00000008737","KH.C9.403","IMP3","ENSCING00000004233","","","XP_026691923"
"2848","ENSCINT00000008738","KH.C14.552","EXOSC8","ENSCING00000004231","","","XP_002120565"
"2849","ENSCINT00000008740","KH.C3.718","SI:DKEY-238O13.4","ENSCING00000004238","","","XP_002124706"
"2850","ENSCINT00000008741","KH.C12.643","ERAP1/2","ENSCING00000004229","","",""
"2851","ENSCINT00000008744","KH.C14.273","SRP68","ENSCING00000004237","","",""
"2852","ENSCINT00000008746","KH.C7.120","GIGYF1/2","ENSCING00000023190","","",""
"2853","ENSCINT00000008747","KH.C2.16","DDX27","ENSCING00000004235","","",""
"2854","ENSCINT00000008749","KH.C3.106","RBBP8","ENSCING00000004242","","",""
"2855","ENSCINT00000008751","KH.C12.643","ERAP1/2","ENSCING00000018234","","",""
"2856","ENSCINT00000008753","KH.C3.116","1110008L16RIK","ENSCING00000004243","","","XP_002125581"
"2857","ENSCINT00000008759","KH.C2.833","CUX1","ENSCING00000004246","","",""
"2858","ENSCINT00000008760","KH.C14.435","ANKRD10","ENSCING00000004245","","",""
"2859","ENSCINT00000008762","KH.C9.142","KH2013:KH.C9.142_ANXA7","ENSCING00000004236","","","XP_002120762"
"2860","ENSCINT00000008763","KH.C2.104","CG30495","ENSCING00000004247","","",""
"2861","ENSCINT00000008765","KH.C7.120","GIGYF1/2","ENSCING00000004240","","",""
"2862","ENSCINT00000008768","KH.C14.379","KH2013:KH.C14.379_ODC1","ENSCING00000018419","","",""
"2863","ENSCINT00000008769","KH.C3.418","WIPI2","ENSCING00000004244","","",""
"2864","ENSCINT00000008774","KH.C2.79","SYTL2/3/4/5","ENSCING00000004253","","",""
"2865","ENSCINT00000008775","KH.C4.716","KH2013:KH.C4.716_FASN","ENSCING00000004239","","",""
"2866","ENSCINT00000008776","KH.C14.500","KH2013:KH.C14.500_SLC5A7","ENSCING00000004248","","",""
"2867","ENSCINT00000008778","KH.C3.884","KH2013:KH.C3.884","ENSCING00000004255","","",""
"2868","ENSCINT00000008779","KH.C9.860","GABRB1/2/3","ENSCING00000004254","","",""
"2869","ENSCINT00000008786","KH.C3.260","KH2013:KH.C3.260","ENSCING00000012406","","",""
"2870","ENSCINT00000008788","KH.C14.425","KH2013:KH.C14.425_SLC5A7","ENSCING00000004257","","","XP_002119499"
"2871","ENSCINT00000008791","KH.L10.5","CG5144","ENSCING00000004256","","",""
"2872","ENSCINT00000008798","KH.C14.154","CNTNAP1/2","ENSCING00000004260","","","XP_018670457"
"2873","ENSCINT00000008799","KH.C3.668","PGAP3","ENSCING00000004258","","",""
"2874","ENSCINT00000008800","KH.L10.9","KH2013:KH.L10.9_COL6A3","ENSCING00000004264","","",""
"2875","ENSCINT00000008801","KH.L10.30","MARC1/2","ENSCING00000004265","","",""
"2876","ENSCINT00000008803","KH.C12.466","SOD2","ENSCING00000004261","","","XP_002128490"
"2877","ENSCINT00000008804","KH.C3.113","ERO1L","ENSCING00000004266","","",""
"2878","ENSCINT00000008806","KH.C9.319","KH2013:KH.C9.319_PKD2","ENSCING00000004263","","",""
"2879","ENSCINT00000008807","KH.L10.33","IQCA/1","ENSCING00000017140","","",""
"2880","ENSCINT00000008812","KH.L156.1","KH2013:KH.L156.1_DNAH5","ENSCING00000004223","","",""
"2881","ENSCINT00000008817","KH.C3.902","IFT81","ENSCING00000004270","","","XP_002126367"
"2882","ENSCINT00000008818","KH.L10.33","IQCA/1","ENSCING00000017140","","",""
"2883","ENSCINT00000008820","KH.C4.483","KH2013:KH.C4.483","ENSCING00000004272","","",""
"2884","ENSCINT00000008821","KH.C12.153","BCKDHB","ENSCING00000004269","","","XP_009860514"
"2885","ENSCINT00000008824","KH.C4.522","NQM1","ENSCING00000004275","","",""
"2886","ENSCINT00000008827","KH.C3.887","KIAA1407","ENSCING00000004279","","",""
"2887","ENSCINT00000008830","KH.C9.138","RQCD1","ENSCING00000004280","","",""
"2888","ENSCINT00000008833","KH.L100.2","GLY-5/9","ENSCING00000004285","","",""
"2889","ENSCINT00000008836","KH.C7.77","PLIN2/3/4/5","ENSCING00000004283","","",""
"2890","ENSCINT00000008838","KH.C12.469","KH2013:KH.C12.469_TYR","ENSCING00000004277","","",""
"2891","ENSCINT00000008842","KH.L10.29","SPOP","ENSCING00000004284","","",""
"2892","ENSCINT00000008843","KH.C7.545","KH2013:KH.C7.545_EPI-1","ENSCING00000004288","","","XP_026690768"
"2893","ENSCINT00000008844","KH.C12.376","KH2013:KH.C12.376_Ci-cluster","ENSCING00000004290","","",""
"2894","ENSCINT00000008846","KH.C7.628","TBX1/10","ENSCING00000004291","","",""
"2895","ENSCINT00000008847","KH.C8.443","MOCOS","ENSCING00000007376","","",""
"2896","ENSCINT00000008848","KH.C12.453","KH2013:KH.C12.453_TMEM150A","ENSCING00000004293","","",""
"2897","ENSCINT00000008849","KH.C1.399","USP14","ENSCING00000004274","","",""
"2898","ENSCINT00000008850","KH.C7.103","ZK507.6","ENSCING00000004294","","","XP_009858959"
"2899","ENSCINT00000008850","KH.C7.103","ZK507.6","ENSCING00000004294","","","XP_018667947"
"2900","ENSCINT00000008853","KH.C1.372","KH2013:KH.C1.372_CLEC-186","ENSCING00000004297","","",""
"2901","ENSCINT00000008856","KH.L10.14","AK8","ENSCING00000004295","ci-ak58","NP_001155275",""
"2902","ENSCINT00000008858","KH.C4.276","CG4679","ENSCING00000004287","","",""
"2903","ENSCINT00000008859","KH.L153.27","PLA2G6","ENSCING00000015352","","",""
"2904","ENSCINT00000008862","KH.C3.661","KH2013:KH.C3.661_TPM1/2","ENSCING00000004282","","","XP_002122265"
"2905","ENSCINT00000008864","KH.L40.2","KH2013:KH.L40.2_FUT8","ENSCING00000016387","","",""
"2906","ENSCINT00000008867","KH.C1.1160","WDR48","ENSCING00000004300","","",""
"2907","ENSCINT00000008869","KH.C12.382","GBF1","ENSCING00000004296","","",""
"2908","ENSCINT00000008876","KH.L153.27","PLA2G6","ENSCING00000004292","","",""
"2909","ENSCINT00000008880","KH.C1.605","METTL11A","ENSCING00000004302","","",""
"2910","ENSCINT00000008882","KH.C5.322","KH2013:KH.C5.322","ENSCING00000019629","","",""
"2911","ENSCINT00000008887","KH.L153.37","SRGAP1/2/3","ENSCING00000004306","","",""
"2912","ENSCINT00000008888","KH.L156.3","TACC1/2","ENSCING00000004305","","",""
"2913","ENSCINT00000008889","KH.C1.48","DCAF6/8","ENSCING00000004303","","",""
"2914","ENSCINT00000008890","KH.C4.44","GALNT4","ENSCING00000004301","","",""
"2915","ENSCINT00000008894","KH.C4.398","KH2013:KH.C4.398_HEXA","ENSCING00000004308","","","XP_026690053"
"2916","ENSCINT00000008897","KH.C1.439","KH2013:KH.C1.439_CG14331","ENSCING00000004298","mech2","NP_001027824","XP_026692492"
"2917","ENSCINT00000008897","KH.C1.439","KH2013:KH.C1.439_CG14331","ENSCING00000004298","mech2","NP_001027824","XP_026692461"
"2918","ENSCINT00000008898","KH.L156.2","BACE1/2","ENSCING00000004309","","","XP_018671056"
"2919","ENSCINT00000008903","KH.L156.5","BLCAP","ENSCING00000004313","blcap","NP_001027654",""
"2920","ENSCINT00000008904","KH.C9.470","SDHA","ENSCING00000004289","","",""
"2921","ENSCINT00000008907","KH.C3.636","MSH6","ENSCING00000004304","","","XP_018666811"
"2922","ENSCINT00000008907","KH.C3.636","MSH6","ENSCING00000004304","","","XP_002126574"
"2923","ENSCINT00000008908","KH.C1.1138","TARS","ENSCING00000004310","","",""
"2924","ENSCINT00000008913","KH.C4.198","KH2013:KH.C4.198_HEXA","ENSCING00000004311","","","XP_026690051"
"2925","ENSCINT00000008922","KH.L10.25","SMC1A","ENSCING00000004299","","",""
"2926","ENSCINT00000008926","KH.C1.550","MRP63","ENSCING00000013777","","","XP_002129015"
"2927","ENSCINT00000008927","KH.L10.11","MTR1A_CHICK","ENSCING00000004317","","","XP_018670494"
"2928","ENSCINT00000008928","KH.C4.394","TRAF4","ENSCING00000004316","zf(traf/ring)-2","NP_001123338",""
"2929","ENSCINT00000008934","KH.L10.4","TRAF3IP1","ENSCING00000004318","","","XP_002128169"
"2930","ENSCINT00000008935","KH.L19.3","PA2G4","ENSCING00000004262","","","XP_002128302"
"2931","ENSCINT00000008936","KH.C4.729","KH2013:KH.C4.729_DUR3","ENSCING00000004319","","",""
"2932","ENSCINT00000008939","KH.L19.14","CSRNP1/2/3","ENSCING00000004321","","","XP_002128379"
"2933","ENSCINT00000008944","KH.C2.588","KH2013:KH.C2.588_SULF1/2","ENSCING00000004323","","","XP_026695872"
"2934","ENSCINT00000008952","KH.C3.532","LIPE","ENSCING00000004327","","",""
"2935","ENSCINT00000008953","KH.C4.323","SBNO1","ENSCING00000004320","","",""
"2936","ENSCINT00000008954","KH.L10.7","NME5","ENSCING00000004328","ci-ndk/dpy26","NP_001154961",""
"2937","ENSCINT00000008955","KH.C2.312","KHK","ENSCING00000004329","","",""
"2938","ENSCINT00000008964","KH.C2.913","INTS5","ENSCING00000004336","","",""
"2939","ENSCINT00000008965","KH.C1.1235","ATG13","ENSCING00000004335","","",""
"2940","ENSCINT00000008966","KH.C3.442","FBXO11","ENSCING00000004333","zf(ubr)-2","NP_001071900",""
"2941","ENSCINT00000008968","KH.C1.1144","CENPN","ENSCING00000004338","","","XP_002129120"
"2942","ENSCINT00000008969","KH.C10.267","HEXB","ENSCING00000013889","","",""
"2943","ENSCINT00000008970","KH.C1.880","TAF1C","ENSCING00000004341","","",""
"2944","ENSCINT00000008972","KH.C1.880","TAF1C","ENSCING00000004342","","",""
"2945","ENSCINT00000008974","KH.C2.106","SEPSECS","ENSCING00000004340","","","XP_002120570"
"2946","ENSCINT00000008975","KH.C1.729","TNKS","ENSCING00000004345","","",""
"2947","ENSCINT00000008976","KH.C3.550","CCDC61","ENSCING00000004344","","","XP_002127205"
"2948","ENSCINT00000008980","KH.C3.514","MMD/2","ENSCING00000004347","","","XP_002127427"
"2949","ENSCINT00000008982","KH.C1.1169","ABT1","ENSCING00000004346","","","XP_002129276"
"2950","ENSCINT00000008983","KH.C2.76","ARL5B","ENSCING00000004348","","","XP_026696250"
"2951","ENSCINT00000008985","KH.C1.891","KH2013:KH.C1.891","ENSCING00000010617","","","XP_002129500"
"2952","ENSCINT00000008987","KH.L10.12","DYNC1I1/2","ENSCING00000004337","","",""
"2953","ENSCINT00000008989","KH.C1.25","KH2013:KH.C1.25","ENSCING00000004351","","",""
"2954","ENSCINT00000008991","KH.C1.272","SPO11","ENSCING00000004353","","",""
"2955","ENSCINT00000008992","KH.C3.451","NDE1","ENSCING00000004352","","",""
"2956","ENSCINT00000008994","KH.C2.926","CG6154","ENSCING00000004354","","",""
"2957","ENSCINT00000008995","KH.S1438.1","KH2013:KH.S1438.1_DHRS1","ENSCING00000004356","","","XP_009858684"
"2958","ENSCINT00000008998","KH.L10.1","GCH1/2","ENSCING00000004358","","",""
"2959","ENSCINT00000009002","KH.C3.493","PLCG1/2","ENSCING00000004355","","",""
"2960","ENSCINT00000009005","KH.L10.8","MIOX","ENSCING00000004360","","","XP_002123012"
