Experiment date (EP),EP experimentator + Imaging acquisition,Condition,ID embryo,Cell Segmentation,Threshold nuclei,Threshold membrane,Surface Segmentation,Merged cells to get new surface information from cell segmentation,Shortest distance between ATM group to TVC group (from edge to edge) µm,Comment on the distance,Comment on the embryo,Phenotype,Details,"Quality of segmentation based on labelling (good, correct, not good)",Comments
2020-06-17,Yelena Bernadskaya,Eph,22062020_image18_right,yes,24.8,7.66,-,yes,38.9,-,look like WT,look like WT,all look like WT,not good,-
2020-06-17,Yelena Bernadskaya,Eph,22062020_image20,yes,44.7,29.3,-,yes,28,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image1_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image1_right,yes,55.1,16.2,-,yes,21.8,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image2,yes,35.1,16.8,-,yes,32.1,-,look like WT,look like WT,all look like WT,good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image3_left,yes,15.1,13.2,-,yes,29.3,-,problem migration and division,inhibited TVC migration / inhibited TVC division,"one of the TVC didn't migrate, it stayed in the tail and didn't divide",correct,Ambiguous phenotype between left and right side; Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image3_right,yes,15.1,10.7,-,yes,23,-,problem migration and division,inhibited TVC migration / inhibited TVC division,"one of the TVC didn't migrate, it stayed in the tail and didn't divide",not good,Ambiguous phenotype between left and right side
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image4_left,yes,20.2,11.2,-,yes,20.1,-,problem migration and division,inhibited TVC migration / inhibited TVC division,"one of the TVC didn't migrate, it stayed in the tail and didn't divide",good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image4_right,yes,27.2,15.1,-,yes,20.7,-,problem migration and division,enhanced ATM migration / inhibited TVC division,one of the ATM migrated in the trunk with the TVCs; and the 2 TVCs didn't divide in the trunk,good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image5,yes,35.2,14.9,-,yes,15.1,-,problem migration and division,inhibited TVC migration / inhibited TVC division,"one of the TVC didn't migrate because it is still attached to the ATMs, and it didn't divide; the other TVC didn't divide in the trunk",correct,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image6,yes,34.8,19.7,-,yes,42.4,-,problem migration and division,inhibited TVC migration / inhibited TVC division,"one of the TVC didn't migrate because it is still attached to the ATMs, and it didn't divide; the other TVC didn't divide completely in the trunk (but in the segmentation nuclei enough far so considered as 2 cells)",not good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image7,yes,20.1,11,-,yes,14.4,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image8,yes,13.9,17.3,-,yes,0,groups connected,problem migration,enhanced ATM migration,"the ATMs migrate a bit in the trunk, they are still attached to the TVCs",good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image9_left,yes,7.48,10.1,-,yes,9.17,-,problem migration and division,inhibited TVC migration / inhibited TVC division,"one of the TVC didn't migrate, it stayed in the tail and didn't divide",good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image9_right,yes,15,17.2,-,yes,13.9,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image10,yes,18.9,17,-,yes,36.9,-,look like WT,look like WT,all look like WT,good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image11_left,yes,36.6,17.6,-,yes,44.1,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image11_right,yes,24.8,17.6,-,yes,39.7,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image12,yes,35.8,20.4,-,yes,14.4,-,problem division,inhibited TVC division,one of the TVC didn't divide completely (but not seen in the segmentation because nuclei enough far from each other so considered as 2 cells),correct,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image13,yes,28.9,17.8,-,yes,0,groups connected,problem migration and division,enhanced ATM migration / inhibited TVC division,"the ATMs migrated in the trunk, they are still attached to the TVCs; and one of the TVC didn't divide in the trunk",good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image14,no,,,-,no,,-,look like WT,look like WT,all look like WT,correct,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image15_left,no,,,-,no,,-,problem migration,enhanced ATM migration,one of the ATM migrated in the trunk with the TVCs,correct,Ambiguous phenotype between left and right side
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image15_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,Ambiguous phenotype between left and right side
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image16_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image16_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image17,yes,54.8,24.7,-,yes,19.5,-,problem migration,enhanced ATM migration,one of the ATM migrated in the trunk with the TVCs,good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image18,yes,23.5,17,-,yes,16.4,-,problem division,inhibited TVC division,one of the TVC didn't divide completely (seen in the segmentation because nuclei enough close to each other so considered as 1 cell),good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image19_left,yes,31,16.8,-,yes,16.7,-,problem division,inhibited TVC division,the 2 TVCs didn't divide in the trunk,not good,Ambiguous phenotype between left and right side
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image19_right,yes,31,16.8,-,yes,14.9,-,look like WT,look like WT,all look like WT,not good,Ambiguous phenotype between left and right side
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image20_left,yes,30,34.9,-,yes,26.2,-,problem migration,inhibited TVC migration,"one of the TVC didn't migrate, it stayed in the tail and divided",good,-
2020-06-17,Yelena Bernadskaya,11B - Dync2h,06072020_image20_right,yes,30,20.4,-,yes,23.9,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated in the trunk and divided with the TVCs,correct,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image1,yes,36.9,11,-,yes,43.9,-,problem migration,enhanced ATM migration,one of the ATM migrated in the trunk with the TVCs,good,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image2,yes,27.9,11,-,yes,34.3,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,good,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image3_left,yes,50.9,17.5,-,yes,42,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image3_right,yes,50.9,17.5,-,yes,43.2,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image4_right,yes,25.8,6.38,-,yes,11.7,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated in the trunk and divided with the TVCs,not good,"Ambiguous phenotype, difficult to identify the cells"
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image6_left,yes,25.3,13.1,-,yes,18.9,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,correct,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image6_right,yes,13.7,10.2,-,yes,11.9,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image7,yes,30,13.8,-,yes,30,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,good,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image8,yes,41.7,10.4,-,yes,30.1,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated in the trunk and divided with the TVCs,good,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image9,yes,46.7,11.7,-,yes,1.27,"one of the cell is separated from the group, but all the cells are in the trunk, so one TVC group only",problem migration and division,enhanced ATM migration / inhibited TVC division,"the ATMs migrated in the trunk, they are still attached to one TVC; the 2 TVCs didn't divide in the trunk and they are separated",good,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image10,yes,10.3,7.22,-,yes,38.4,-,look like WT,look like WT,all look like WT,not good,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image11,yes,43.5,14,-,yes,27.9,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image12_left,yes,17.2,6.04,-,yes,40.8,-,look like WT,look like WT,all look like WT,good,"Ambiguous phenotype between left and right, many cells around and other side not seen completely"
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image12_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,"Ambiguous phenotype between left and right, many cells around and the side is not seen completely"
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image13,yes,16.4,9.56,-,yes,31.8,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated in the trunk and divided with the TVCs,correct,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image14_left,yes,29.1,8.38,-,yes,37.7,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image14_right,yes,29.1,10.5,-,yes,21,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image15_left,yes,25.1,7.6,-,yes,20,-,look like WT,look like WT,all look like WT,not good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image16,yes,19.4,5.92,-,yes,-,no distance - only one group in the trunk,problem migration and division,enhanced ATM migration / enhanced ATM division,the 2 ATMs migrated in the trunk with the TVCs; and one of the ATM divided,correct,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image17_left,yes,27.4,10.9,-,yes,21.8,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image17_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image18,yes,28.3,8.16,-,yes,31.9,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image19_left,yes,9.11,7.6,-,yes,36.4,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image19_right,yes,3.71,6.21,-,yes,32,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image20_left,yes,17.6,8.8,-,yes,33.3,-,look like WT,look like WT,all look like WT,correct,"Ambiguous phenotype between left and right, difficult to identify the cells "
2020-06-17,Yelena Bernadskaya,8H - GNA-L/S,07012020_image20_right,yes,17.6,6.54,-,yes,25.3,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated in the trunk and divided with the TVCs,correct,"Ambiguous phenotype between left and right, difficult to identify the cells "
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image1,yes,60,16.3,-,yes,21.9,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated in the trunk and divided with the TVCs,good,-
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image2,yes,20.6,13,-,yes,42.2,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,correct,-
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image3,yes,37.9,13.8,-,yes,24.1,-,problem migration and division,enhanced ATM migration / inhibited TVC division,one of the ATM migrated in the trunk with the TVCs; the 2 TVCs didn't divide in the trunk,not good,-
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image4,yes,50.2,25.4,-,yes,1.98,-,problem migration and division,enhanced ATM migration / inhibited TVC division,"the ATMs migrated a bit in the trunk; and one of the TVC didn't divide completely (but not seen in the segmentation, because the nuclei are enough far from each other, so considered as 2 cells)",good,-
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image5,yes,57.2,17.1,-,yes,46.9,-,problem migration and division,enhanced ATM migration / inhibited TVC division,one of the ATM migrated in the trunk with the TVCs; the 2 TVCs didn't divide in the trunk,not good,Ambiguous phenotype
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image6,yes,38.7,17,-,yes,41.5,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image7,yes,34.2,20.3,-,yes,19.2,-,problem division,inhibited TVC division,the 2 TVCs didn't divide in the trunk,good,the 2 ATMs are separated in the tail
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image8,yes,49.7,20.3,-,yes,38.4,-,problem migration and division,enhanced ATM migration / enhanced ATM division / inhibited TVC division,one of the ATM migrated in the trunk and divided; the 2 TVCs didn't divide in the trunk,correct,"Ambiguous phenotype, difficult to identify the cells"
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image9_left,yes,58.6,22,-,yes,-,no distance - only one group in the trunk,problem migration,enhanced ATM migration,the 2 ATMs migrated in the trunk with the TVCs,good,-
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image9_right,yes,58.6,17.1,-,yes,25.7,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image10_left,no,,,-,no,,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated and divided in the trunk with the TVCs; the other ATM in the tail divided,correct,"Ambiguous phenotype, difficult to identify the cells"
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image10_right,yes,45.1,20.3,-,yes,26.2,-,problem division,enhanced ATM division / inhibited TVC division,the 2 ATMs divided in the tail; and one of the TVC didn't divide in the trunk,correct,"Ambiguous phenotype, difficult to identify the cells"
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image11,yes,60.7,23.1,-,yes,39.8,-,problem division,inhibited TVC division,the 2 TVCs didn't divide in the trunk,not good,One ATM seems to be very small compare to the other one
2020-06-17,Yelena Bernadskaya,7D - EPB4.1,06072020_image12,yes,44.7,20.1,-,yes,32.4,-,problem migration and division,enhanced ATM division / inhibited TVC division,one of the ATM migrated in the trunk; and one of the TVC didn't divide in the trunk,good,"Ambiguous phenotype, difficult to identify the cells"
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image1,yes,43,17.5,-,yes,0,groups connected,problem migration and orientation,enhanced ATM migration / TVC cell alignment,one of the ATM migrated with the TVCs but still some attachment to the other ATM in the tail; one of the TVC divided but not in the medio-lateral orientation,good,-
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image2,no,,,-,no,,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated and divided in the trunk with the TVCs but they are separated from the TVCs,correct,"Ambiguous phenotype, difficult to identify the cells"
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image3,yes,30.3,22.8,-,yes,14.4,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated and divided in the trunk with the TVCs; the ATM in the tail divided,good,-
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image4_left,yes,16.1,6.9,-,yes,40.2,-,look like WT,look like WT,all look like WT,correct,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image4_right,yes,16.1,6.9,-,yes,32,-,look like WT,look like WT,all look like WT,not good,-
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image5,yes,40.4,17.2,-,yes,18.2,-,problem migration and division,enhanced ATM migration / inhibited TVC division,one of the ATM migrated in the trunk with the TVCs; one of the TVC didn't divide in the trunk,good,-
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image6,yes,45,24.1,-,yes,19.1,-,problem division,inhibited TVC division,the 2 TVCs didn't divide in the trunk,good,-
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image7_left,yes,30,13.4,-,yes,31.1,-,look like WT,look like WT,all look like WT,good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image7_right,yes,14.9,8.39,-,yes,26.8,-,look like WT,look like WT,all look like WT,correct,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image8,yes,53,21.6,-,yes,0,groups connected,problem migration and division,inhibited TVC migration / inhibited TVC division,the TVCs group didn't migrate enough and didn't separate from the ATMs group; one of the TVC didn't divide in the trunk,good,-
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image9,yes,52.9,17.7,-,yes,18.7,-,problem migration and division,inhibited TVC migration / inhibited TVC division,"one of the TVC didn't migrate and didn't divide, it stayed in the tail with the ATMs; the TVC that migrated in the trunk didn't divide",good,-
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image10_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,Don't see all the TVC cells (image not centered)
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image10_right,yes,25.9,11.2,-,yes,27.2,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image12,yes,45.5,28.6,-,yes,37.5,-,problem migration and division,inhibited TVC migration / inhibited TVC division,"one of the TVC didn't migrate, it stayed in the tail with ATMs and didn't divide; the TVC that migrated in the trunk divided but not completely (but the nuclei are enough far from each other so considered as 2 cells)",good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image13_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image13_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,6G - Farp,07072020_image14,yes,30.1,19.7,-,yes,33.9,-,problem division,enhanced ATM division,one of the ATM divided in the tail,good,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image1,yes,49.4,16.3,-,yes,11.2,-,problem orientation,TVC cell alignment,"one of the TVC divided but not in the medio-lateral orientation, so cells are aligned",good,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image2,yes,45.1,25,-,yes,8.79,-,problem migration and division,enhanced ATM migration / enhanced ATM division,the ATMs migrated a bit in the trunk; and one of the ATM divided,good,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image3_left,yes,36,11.1,-,yes,1.26,-,problem migration and division,enhanced ATM migration / inhibited TVC division,one of the ATM migrated in the trunk with the TVCs; and the 2 TVCs didn't divide in the trunk,correct,"Ambiguous phenotype between left and right, difficult to identify the cells"
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image3_right,no,,,-,no,-,no distance - only one group in the trunk,problem migration and division,enhanced ATM migration / inhibited TVC division,the 2 ATMs migrated with the TVCs in the trunk and the 2 TVCs didn't divide,correct,"Ambiguous phenotype between left and right, difficult to identify the cells"
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image4,yes,33.9,18.8,-,yes,24.4,-,look like WT,look like WT,all look like WT,correct,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image5,yes,49.6,26.2,-,yes,18.4,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image7,yes,30,14.8,-,yes,31.3,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image8_left,no,,,-,no,,-,problem division,enhanced ATM division,one of the ATM divided in the tail,good,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image8_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image9,no,,,-,no,,-,problem orientation,TVC cell alignment,"one of the TVC divided but not in the medio-lateral orientation, so cells are aligned",good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image10,yes,20.3,17.3,-,yes,27.2,-,look like WT,look like WT,all look like WT,good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image11,no,,,-,no,,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image12,yes,29.7,8.53,-,yes,37.3,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image14_left,yes,11,13,-,yes,18.3,-,problem migration,enhanced ATM migration,one of the ATM migrated in the trunk with the TVCs,good,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image14_right,yes,4.83,13,-,yes,25.2,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated in the trunk with the TVCs and divided,good,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image15_left,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2020-06-17,Yelena Bernadskaya,3F - Gna12/13,03072020_image15_right,yes,22.7,16.6,-,yes,4.97,-,problem migration,enhanced ATM migration,the ATMs migrated a bit in the trunk,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image1,yes,35,12.2,-,yes,41.7,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,correct,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image2_left,yes,20.3,20.5,-,yes,26.5,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image2_right,yes,17.1,12.9,-,yes,24.5,-,look like WT,look like WT,all look like WT,not good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image3_left,yes,25.3,10.6,-,yes,25.4,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image3_right,yes,25.3,10.6,-,yes,17.1,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated in the trunk and divided with the TVCs,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image4_left,yes,16.9,16.2,-,yes,30.2,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image4_right,yes,10.9,16.2,-,yes,35.5,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image5_left,yes,18.5,15.1,-,yes,17.7,-,problem disposition TVC,problem disposition TVC,all look like WT (but the 4 cells are not  in the medio-lateral position: but no feature to extract this),good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image5_right,yes,16.1,15.1,-,yes,31.8,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image6_left,yes,22,10.1,-,yes,19.6,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image6_right,yes,22,17.6,-,yes,37,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image8_left,yes,5.12,5.86,-,yes,34.8,-,look like WT,look like WT,all look like WT,not good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image8_right,yes,25.3,18.3,-,yes,32.6,-,look like WT,look like WT,all look like WT,good,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image9,yes,15.7,14.9,-,yes,13.2,-,problem division,inhibited TVC division,one of the TVC didn't divide in the trunk,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image10_left,yes,10.1,13.8,-,yes,15.6,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image10_right,yes,16.6,12.1,-,yes,24.5,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image11_left,yes,6.87,11.8,-,yes,8.56,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image11_right,yes,17.2,26.1,-,yes,17.3,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image12,yes,20.1,16.7,-,yes,50.2,Distance should be shorter (part of cell not detected in the segmentation),problem division,inhibited TVC division,the 2 TVCs didn't divided in the trunk,good,"A big protrusion from the ATM has not been detected by the segmentation because too thin, so distance calculated is longer"
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image13,yes,15.2,14.3,-,yes,21.6,-,look like WT,look like WT,all look like WT,correct,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image14,yes,18.3,9.87,-,yes,15.5,-,problem migration and division,enhanced ATM migration / enhanced ATM division,one of the ATM migrated in the trunk and divided with the TVCs,correct,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image15_left,no,,,-,no,,-,look like WT,look like WT,all look like WT (the cells not divided completely but not seen in the segmentation),correct,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image15_right,yes,5.34,13.7,-,yes,20.7,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image16,yes,10.3,11.4,-,yes,57.8,-,look like WT,look like WT,all look like WT,not good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image17_left,yes,20.6,14.9,-,yes,24.6,-,problem orientation,TVC cell alignment,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image17_right,yes,20.6,26.4,-,yes,44.9,-,problem migration and division,inhibited TVC migration / inhibited TVC division,"one of the TVC didn't migrate, it stayed in the tail and didn't divide; the other TVC that migrated in the trunk didn't divide",good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image18,yes,21.5,22.2,-,yes,38.3,-,problem division,inhibited TVC division,the 2 TVCs didn't divided in the trunk,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image19_left,yes,2.61,7.14,-,yes,44.6,-,look like WT,look like WT,all look like WT,not good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image19_right,yes,4.79,11.9,-,yes,51,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image20_left,yes,19,18,-,yes,37.5,-,look like WT,look like WT,all look like WT,good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image20_right,no,,,-,no,,-,look like WT,look like WT,all look like WT,not good,-
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image21_left,yes,18,12.5,-,yes,23.5,-,look like WT,look like WT,all look like WT,correct,Don't see all the ATM cells (image not centered)
2020-06-17,Yelena Bernadskaya,1C - NDE,06172020_image21_right,yes,5.3,10.3,-,yes,31.1,-,look like WT,look like WT,all look like WT,correct,-
