Experiment date (EP),EP experimentator + Imaging acquisition,Condition,ID embryo,Cell Segmentation,Threshold nuclei,Threshold membrane,Surface Segmentation,Threshold surface,Merged cells to get new surface information from cell segmentation,Shortest distance between ATM group to TVC group (from edge to edge) µm,Comment on the distance,Comment on the embryo,Details phenotype,"Quality of segmentation based on labelling (good, correct, not good)",Comments
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image22,yes,106,28.6,-,-,yes,27.1,-,problem division,the 2 TVCs didn't divide in the trunk,good,
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image23_left,yes,93,32.2,-,-,yes,0,groups connected,problem migration and division,"one of the ATM divided and migrated in the trunk, the groups are connected",good,ambiguous phenotype between left and right
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image23_right,yes,93,32.2,-,-,yes,30.6,-,problem division and orientation,the 2 TVCs didn't divide in the trunk and they are not oriented in the medio-lateral orientation,good,ambiguous phenotype between left and right
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image25,yes,74,34.8,-,-,yes,36.8,-,look like WT,all look like WT,not good,
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image26_left,yes,115,28.6,-,-,yes,38.5,-,problem migration and division,one of the ATM migrated in the trunk with the TVCs; the 2 TVCs didn't divide in the trunk,good,
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image27,yes,106,35.4,-,-,yes,22.1,-,look like WT,all look like WT,good,
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image28,yes,140,35.2,-,-,yes,34.8,-,look like WT,all look like WT,good,
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image29_right,yes,105,29.9,-,-,yes,11.6,-,look like WT,all look like WT,correct,
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image30,yes,115,31.6,-,-,yes,-,no distance - only one group in the trunk,problem migration and division,the 2 ATMs migrated in the trunk with the TVCs; and one of the TVC didn't divide,good,
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image31_left,yes,110,35.2,-,-,yes,33.4,-,look like WT,all look like WT,not good,
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image32_left,yes,104,43.5,-,-,yes,17.8,-,look like WT,all look like WT,not good,
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image32_right,yes,104,53.8,-,-,yes,11.7,-,problem migration,one of the ATM migrated with the TVCs in the trunk,correct,
2019-08-29,Margaux Failla,7H - ADF/Cofilin,slide2_image33_left,yes,90,37.9,-,-,yes,23.3,-,look like WT,all look like WT,not good,
2020-01-10,Margaux Failla,Tyrosinase,image1,yes,83.8,22.7,-,-,yes,24.7,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Tyrosinase,image2,yes,85.4,22,-,-,yes,46.9,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Tyrosinase,image3,yes,122,12.6,-,-,yes,39.7,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Tyrosinase,image6_left,yes,102,22.7,-,-,yes,43.2,-,look like WT,all look like WT ,not good,
2020-01-10,Margaux Failla,Tyrosinase,image6_right,yes,81,15.1,-,-,yes,30.4,-,look like WT,all look like WT ,not good,
2020-01-10,Margaux Failla,Tyrosinase,image7,yes,95.1,18.7,-,-,yes,32.2,-,look like WT,all look like WT ,correct,
2020-01-10,Margaux Failla,Tyrosinase,image8,yes,113,17.3,-,-,yes,34.5,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Tyrosinase,image9,yes,99,30.2,-,-,yes,31.6,-,look like WT,all look like WT ,correct,
2020-01-10,Margaux Failla,Tyrosinase,image10,yes,95.7,29.1,-,-,yes,30.6,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Tyrosinase,image11,yes,65.9,31.3,-,-,yes,31.4,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Tyrosinase,image12,yes,103,27.9,-,-,yes,20.3,-,look like WT,all look like WT ,not good,
2020-01-10,Margaux Failla,Tyrosinase,image13,yes,74.6,15.4,-,-,yes,15.9,-,problem migration and division,one of the ATM migrated in the trunk and divided with the TVCs,good,
2020-01-10,Margaux Failla,Tyrosinase,image14_left,yes,93.8,17.3,-,-,yes,28.3,-,look like WT,all look like WT ,correct,
2020-01-10,Margaux Failla,Tyrosinase,image14_right,yes,93.8,20.5,-,-,yes,29.7,-,look like WT,all look like WT ,not good,
2020-01-10,Margaux Failla,Tyrosinase,image15_left,yes,98.2,20.5,-,-,yes,24.1,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Tyrosinase,image15_right,yes,98.2,27,-,-,yes,30.1,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Tyrosinase,image16_left,yes,105,24.6,-,-,yes,21.5,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Tyrosinase,image16_right,yes,96.2,17.5,-,-,yes,29.2,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Tyrosinase,image17,yes,107,17.6,-,-,yes,40.1,-,look like WT,all look like WT ,correct,
2020-01-10,Margaux Failla,Depdc,image1,yes,95.3,26.6,-,-,yes,29,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,Depdc,image2_left,yes,91.7,17.4,-,-,yes,60.9,-,problem divison,one of the ATM divided in the tail,good,
2020-01-10,Margaux Failla,Depdc,image2_right,yes,91.7,29,-,-,yes,58.6,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image3,yes,86.9,19.5,-,-,yes,32,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image4,yes,59.6,26.3,-,-,yes,30.6,-,problem orientation,"the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned",good,
2020-01-10,Margaux Failla,Depdc,image5_left,yes,103,18.3,-,-,yes,41.8,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image5_right,yes,107,18.3,-,-,yes,43.4,-,look like WT,all look like WT ,correct,
2020-01-10,Margaux Failla,Depdc,image6,yes,93.3,21.8,-,-,yes,30.5,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,Depdc,image7_left,yes,88,22.4,-,-,yes,41.2,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image7_right,yes,81.6,22.4,-,-,yes,31.6,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image8_left,yes,80.2,20.1,-,-,yes,43.9,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image8_right,yes,80.2,20.1,-,-,yes,40,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image9_left,yes,83.5,22.3,-,-,yes,21.1,-,problem orientation,"the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned",good,"ambigous phenotype, difficult to differentiate left and right"
2020-01-10,Margaux Failla,Depdc,image9_right,yes,83.5,14.9,-,-,yes,24.6,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,"ambigous phenotype, difficult to differentiate left and right"
2020-01-10,Margaux Failla,Depdc,image10,yes,98.3,19.7,-,-,yes,36.8,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,Depdc,image11_left,yes,87.5,21.3,-,-,yes,46.6,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,Depdc,image11_right,yes,87.5,21.3,-,-,yes,40,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image12,yes,87.8,21.5,-,-,yes,55.6,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image13,yes,90,29.6,-,-,yes,28.6,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,Depdc,image14_left,yes,73.8,21.4,-,-,yes,1.12,-,problem migration and division,one of the ATM divided and one of the cells migrated but not completely,good,
2020-01-10,Margaux Failla,Depdc,image14_right,yes,73.8,21.4,-,-,yes,41.8,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,Depdc,image15_left,yes,97.5,22.6,-,-,yes,22.2,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,Depdc,image15_right,yes,97.5,22.6,-,-,yes,0,groups connected,problem migration and division,"one of the TVC didn't migrate and didn't divide in the tail, and the other TVC migrated but not completely (cells attached) and didn't divided in the trunk",good,
2020-01-10,Margaux Failla,Depdc,image16_left,yes,115,23.1,-,-,yes,28.1,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,Depdc,image16_right,yes,102,23.1,-,-,yes,29.3,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image17_left,yes,91,30.3,-,-,yes,26.1,-,problem orientation,"the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned",correct,
2020-01-10,Margaux Failla,Depdc,image17_right,yes,91,30.3,-,-,yes,23.7,-,look like WT,all look like WT ,correct,
2020-01-10,Margaux Failla,Depdc,image18_left,yes,120,37.6,-,-,yes,41.1,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",not good,
2020-01-10,Margaux Failla,Depdc,image18_right,yes,96.2,37.6,-,-,yes,19.5,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",not good,
2020-01-10,Margaux Failla,Depdc,image19_left,yes,88.3,22.2,-,-,yes,-,no distance - only one group,problem migration and division,"the 2 TVCs didn't migrate in the trunk and didn't divide, they stayed in the tail with ATMs",good,
2020-01-10,Margaux Failla,Depdc,image19_right,yes,106,22.2,-,-,yes,26.2,-,problem orientation,"the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned",good,
2020-01-10,Margaux Failla,Depdc,image20_left,yes,87,30.8,-,-,yes,14.5,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image20_right,yes,87,30.8,-,-,yes,19.8,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,Depdc,image21,yes,94.9,31,-,-,yes,40,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",correct,
2020-01-10,Margaux Failla,Depdc,image22_left,yes,93.5,27.6,-,-,yes,34.3,-,look like WT,all look like WT ,correct,
2020-01-10,Margaux Failla,Depdc,image22_right,yes,93.5,27.6,-,-,yes,52.2,-,look like WT,all look like WT ,correct,
2020-01-10,Margaux Failla,6G - Farp,image1_left,yes,103.2,33.7,-,-,yes,-,no distance - only one group,problem migration and orientation,the 2 TVCs didn't migrate and divided in the tail,good,
2020-01-10,Margaux Failla,6G - Farp,image1_right,yes,103.2,33.7,-,-,yes,34.2,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,6G - Farp,image2_left,yes,97.3,24.8,-,-,yes,17.9,-,look like WT (but the 4 cells are not  in the medio-lateral position: but not feature to extract this),all look like WT (but the 4 cells are not  in the medio-lateral position: but not feature to extract this),good,
2020-01-10,Margaux Failla,6G - Farp,image2_right,yes,97.3,24.8,-,-,yes,17.2,-,problem division,one of the ATM divided in the tail,good,
2020-01-10,Margaux Failla,6G - Farp,image3,yes,85.4,34,-,-,yes,22.1,-,problem division,one of the ATM divided in the tail,good,
2020-01-10,Margaux Failla,6G - Farp,image4_right,yes,116,24.1,-,-,yes,30.9,-,problem migration,one of the TVCs didn't migrate and divided in the tail,good,
2020-01-10,Margaux Failla,6G - Farp,image4_left,yes,116,24.1,-,-,yes,27.2,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image5_left,yes,115,29.7,-,-,yes,23.3,-,problem migration and division,"the 2 TVCs didn't divide in the trunk, and one of the ATM migrated in the trunk with the TVCs",good,
2020-01-10,Margaux Failla,6G - Farp,image5_right,yes,100,27,-,-,yes,42.5,-,problem division,one of the sTVC did the second division? We have one of the SHP?,correct,
2020-01-10,Margaux Failla,6G - Farp,image6,yes,74.6,28,-,-,yes,37,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image7,yes,98.3,27.3,-,-,yes,42.4,-,problem division,one of the ATM divided in the tail,good,
2020-01-10,Margaux Failla,6G - Farp,image8,yes,104,31.9,-,-,yes,53.2,-,problem division,one of the ATM divided in the tail,good,
2020-01-10,Margaux Failla,6G - Farp,image9,yes,69.9,31,-,-,yes,33.7,-,problem migration and division,one of the ATM migrated in the trunk and divided with the TVCs,good,
2020-01-10,Margaux Failla,6G - Farp,image10,yes,91.8,40,-,-,yes,29.2,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image11,yes,110,26.6,-,-,yes,3.05,-,problem migration,"one of the ATM migrated in the trunk with the TVCs, but not completely",good,
2020-01-10,Margaux Failla,6G - Farp,image12,yes,110,30.2,-,-,yes,9,-,problem division,one of the ATM divided in the tail,good,
2020-01-10,Margaux Failla,6G - Farp,image13_left,yes,122,20.5,-,-,yes,25.6,-,look like WT,all look like WT ,correct,
2020-01-10,Margaux Failla,6G - Farp,image13_right,yes,122,20.5,-,-,yes,2.79,-,problem migration,one of the ATM migrated in the trunk with the TVCs,correct,
2020-01-10,Margaux Failla,6G - Farp,image14_left,yes,105,30.2,-,-,yes,20.6,-,problem division and orientation,the 2 TVCs didn't divide in the trunk and are not correctly oriented,good,
2020-01-10,Margaux Failla,6G - Farp,image14_right,yes,100,30.2,-,-,yes,27.1,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image15,yes,99.4,36.7,-,-,yes,20.1,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image16_left,yes,90.8,20.4,-,-,yes,15.9,-,problem division,one of the ATM divided in the tail,good,
2020-01-10,Margaux Failla,6G - Farp,image16_right,yes,90.8,20.4,-,-,yes,25.5,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image17,yes,92.3,35.2,-,-,yes,44.2,-,problem migration and division,one of the TVC didn't migrate and didn't divide in the tail,good,
2020-01-10,Margaux Failla,6G - Farp,image18,yes,62.7,31,-,-,yes,0,groups connected,problem migration and division,"one of the ATM divided and migrated but not completely, so still attached to the other ATM",good,
2020-01-10,Margaux Failla,6G - Farp,image19_left,yes,76.7,25.6,-,-,yes,36.1,-,problem migration and division,one of the TVC didn't migrate and didn't divide in the tail,not good,
2020-01-10,Margaux Failla,6G - Farp,image19_right,yes,91.8,25.6,-,-,yes,30.5,-,look like WT,all look like WT ,not good,
2020-01-10,Margaux Failla,6G - Farp,image20,yes,96.2,52.4,-,-,yes,38.7,-,look like WT,all look like WT ,correct,
2020-01-10,Margaux Failla,6G - Farp,image21,yes,96.2,31.1,-,-,yes,27.1,-,problem division,one of the TVC didn't divide in the trunk,good,
2020-01-10,Margaux Failla,6G - Farp,image22_left,yes,86.4,33.5,-,-,yes,41.2,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image23,yes,82.1,37.6,-,-,yes,31.5,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image24_left,yes,85.4,21.5,-,-,yes,36.4,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image24_right,yes,103,34.4,-,-,yes,29.6,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image25_left,yes,92.3,23.7,-,-,yes,28.2,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image25_right,yes,100,25.9,-,-,yes,16.6,-,look like WT (but the 4 cells are not  in the medio-lateral position: but no feature to extract this),all look like WT (but the 4 cells are not  in the medio-lateral position: but no feature to extract this),good,
2020-01-10,Margaux Failla,6G - Farp,image26,yes,82.1,29,-,-,yes,35,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image27,yes,92.9,23.7,-,-,yes,42.4,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",correct,
2020-01-10,Margaux Failla,6G - Farp,image28,yes,82.6,33.5,-,-,yes,42.2,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,6G - Farp,image29,yes,84.3,26.8,-,-,yes,32.7,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,3F - Gna12/13,image1,yes,74.2,30.1,-,-,yes,33.5,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,3F - Gna12/13,image2,yes,88.5,31.7,-,-,yes,43.2,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,3F - Gna12/13,image3,yes,89,35.6,-,-,yes,25.7,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,3F - Gna12/13,image4_right,yes,115,32.2,-,-,yes,24.1,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,3F - Gna12/13,image4_left,yes,90.8,23.6,-,-,yes,22,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,3F - Gna12/13,image6,yes,100,22,-,-,yes,13.9,-,problem division,one of the sTVC did the second division? We have one of the SHP? And one of the ATM divided in the tail,correct,ambigous phenotype: don't know if it's 1 or 2 sides (concidered as 1)
2020-01-10,Margaux Failla,3F - Gna12/13,image7,yes,83.6,26.6,-,-,yes,0,groups connected,problem migration,one of the ATM migrated a little with TVCs but not completely so attached to the other ATM and to the TVCs,good,
2020-01-10,Margaux Failla,3F - Gna12/13,image9,yes,80.8,38.8,-,-,yes,0,groups connected,problem migration and oriantation,"the migration was not completed and one ATM is attached to the TVC; also one of the TVC divided not in the medio-lateral orientation, so cells are aligned ",correct,
2020-01-10,Margaux Failla,3F - Gna12/13,image10,yes,77.8,32.2,-,-,yes,8.76,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,3F - Gna12/13,image12_right,yes,110,36.6,-,-,yes,31.8,-,problem division,one of the ATM divided in the tail,correct,ambigous with the left side
2020-01-10,Margaux Failla,3F - Gna12/13,image13,yes,89.6,27,-,-,yes,26.9,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,3F - Gna12/13,image14,yes,88.8,24.2,-,-,yes,31,-,look like WT,all look like WT ,good,
2020-01-10,Margaux Failla,3F - Gna12/13,image15,yes,65.9,21.3,-,-,yes,46.5,-,look like WT,all look like WT ,correct,
2020-01-10,Margaux Failla,3F - Gna12/13,image16,yes,92.5,49.6,-,-,yes,46.2,-,problem orientation/cell detached,"each (sTVC+FHP) are seperated, we have 2 groups of cells for the TVCs",good,
2020-01-10,Margaux Failla,11E - Arhgef8,image1_left,yes,86.5,27.8,-,-,yes,24.2,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,11E - Arhgef8,image1_right,yes,86.5,27.8,-,-,yes,33.3,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image2_left,yes,120,43.1,-,-,yes,21,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image2_right,yes,120,43.1,-,-,yes,21.2,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,11E - Arhgef8,image3_left,yes,100,31.9,-,-,yes,32.3,-,look like WT,all look like WT,correct,
2020-01-10,Margaux Failla,11E - Arhgef8,image3_right,yes,100,29,-,-,yes,40.3,-,look like WT,all look like WT,not good,
2020-01-10,Margaux Failla,11E - Arhgef8,image4_left,yes,195,37.1,-,-,yes,27.1,-,look like WT,all look like WT,correct,
2020-01-10,Margaux Failla,11E - Arhgef8,image4_right,yes,129,37.1,-,-,yes,23.8,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image5,yes,120,33.2,-,-,yes,30.6,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image6,yes,80,52.2,-,-,yes,18.2,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",correct,
2020-01-10,Margaux Failla,11E - Arhgef8,image7,yes,107,38.8,-,-,yes,14.3,-,"look like WT (but maybe the group is not medio-lateral oriented, but no feature to see that)","all look like WT (but maybe the group is not medio-lateral oriented, but no feature to see that)",correct,
2020-01-10,Margaux Failla,11E - Arhgef8,image8,yes,101.6,40.6,-,-,yes,43,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image9,yes,107,46.2,-,-,yes,17.9,-,look like WT,all look like WT,not good,
2020-01-10,Margaux Failla,11E - Arhgef8,image10_left,yes,80.5,42.5,-,-,yes,20.8,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,11E - Arhgef8,image10_right,yes,95.7,32.3,-,-,yes,21.4,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image11_left,yes,110.3,31.6,-,-,yes,32.3,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",not good,
2020-01-10,Margaux Failla,11E - Arhgef8,image11_right,yes,110,31.6,-,-,yes,40.1,-,look like WT,all look like WT,not good,
2020-01-10,Margaux Failla,11E - Arhgef8,image12,yes,110,42.1,-,-,yes,39.4,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image13_left,yes,92.9,27.6,-,-,yes,17.3,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image13_right,yes,92.9,27.6,-,-,yes,14.5,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image14,yes,90,34.3,-,-,yes,13.2,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image15,yes,150,43.4,-,-,yes,30.6,-,look like WT,all look like WT,not good,
2020-01-10,Margaux Failla,11E - Arhgef8,image16,yes,85.3,25.9,-,-,yes,41.2,-,problem migration and division,one of the TVC didn't migrate and didn't divide in the tail,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image17_left,yes,77.8,29.1,-,-,yes,11.4,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,image17_right,yes,77.8,29.1,-,-,yes,14.7,-,look like WT,all look like WT,correct,
2020-01-10,Margaux Failla,11E - Arhgef8,image18,yes,84.3,31.5,-,-,yes,15.7,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so cells are aligned",good,
2020-01-10,Margaux Failla,11E - Arhgef8,image19,yes,95.2,34.9,-,-,yes,15.4,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image1_right,yes,94,33.6,-,-,yes,12.4,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image1_left,yes,94,33.6,-,-,yes,17.1,-,look like WT,all look like WT,correct,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image2,yes,96.5,28.1,-,-,yes,20.5,-,problem orientation,"the 2 TVC divided not in the medio-lateral orientation, so all cells are aligned (one of the TVC had moved to the other side and so detached from the other TVC)",correct,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image3,yes,110.2,29.5,-,-,yes,15.2,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image4,yes,109.1,31.6,-,-,yes,26.3,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image5,yes,100,24.9,-,-,yes,20.1,-,problem orientation,"one of the TVC divided not in the medio-lateral orientation, so FHP are a bit aligned",not good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image6_right,yes,110,32,-,-,yes,24.8,-,problem division,the ATM are not connected and one of the ATM divided in the tail,correct,ambiguous phenotype for left-right
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image6_left,yes,95,32,-,-,yes,6.68,-,look like WT,all look like WT,correct,ambiguous phenotype for left-right
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image7_right,yes,108,28.8,-,-,yes,14.6,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image7_left,yes,90.8,28.8,-,-,yes,22.8,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image8,yes,110,34.2,-,-,yes,44.2,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image9_right,yes,100,30.3,-,-,yes,35.8,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image9_left,yes,125,35.8,-,-,yes,16.6,-,problem of migration and division,one of the TVC didn't migrate and didn't divide in the tail,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image10_left,yes,87.5,25.8,-,-,yes,12.2,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image10_right,yes,100,25.8,-,-,yes,-,no distance - only one group,problem migration and orientation,"the 2 TVC didn't migrate, they stayed and divided in the tail with not a medio-lateral orientation for one TVC, so cells are aligned",good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image11,yes,90.4,24.4,-,-,yes,50,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image12,yes,84.6,31.9,-,-,yes,34.1,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image13_left,yes,85.4,33.9,-,-,yes,34.4,-,problem migration and division,one of the TVC didn't migrate and didn't divide in the tail,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image13_right,yes,85.4,33.9,-,-,yes,35,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image14,yes,80,37.5,-,-,yes,20.8,-,look like WT,all look like WT,good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image15,yes,110,39.7,-,-,yes,31.1,-,look like WT,all look like WT,not good,
2020-01-10,Margaux Failla,11E - Arhgef8,nextpart_image16,yes,104,37.1,-,-,yes,29.5,-,look like WT,all look like WT,good,
2020-02-06,Margaux Failla,Tyrosinase,Slide1_image1,yes,109,24.8,-,-,yes,17.4,-,look like WT,all look like WT,good,
2020-02-06,Margaux Failla,Tyrosinase,Slide1_image3,yes,102,32.7,-,-,yes,0,groups connected,problem migration and division,the migration is not completed and one ATM divided in the tail,good,
2020-02-06,Margaux Failla,Tyrosinase,Slide1_image4,yes,102,33.5,-,-,yes,20.1,-,look like WT,all look like WT,good,
2020-02-06,Margaux Failla,Tyrosinase,Slide1_image5_right,yes,106,35.6,-,-,yes,37.5,-,look like WT,all look like WT,good,
2020-02-06,Margaux Failla,Tyrosinase,Slide1_image5_left,yes,78.9,19.4,-,-,yes,25.5,-,look like WT,all look like WT,correct,
2020-02-06,Margaux Failla,Tyrosinase,Slide1_image6_right,yes,100,31.9,-,-,yes,38.1,-,look like WT,all look like WT,good,
2020-02-06,Margaux Failla,Tyrosinase,Slide1_image6_left,yes,100,39.3,-,-,yes,25.8,-,look like WT,"all look like WT (maybe no orientation with the other side TVC, but no features to see that)",good,
2020-02-06,Margaux Failla,Tyrosinase,Slide1_image7_right,yes,88.8,32.4,-,-,yes,0,groups connected,problem migration,"the migration is not completed, TVCs and ATM are touching",good,
2020-02-06,Margaux Failla,Tyrosinase,Slide1_image7_left,yes,88.8,32.4,-,-,yes,21.4,-,look like WT,all look like WT,not good,
2020-02-06,Margaux Failla,Tyrosinase,Slide1_image8_right,yes,107,33.7,-,-,yes,24.2,-,look like WT,all look like WT,not good,
